TATACOFFEE,           Ratio_name Ratio_value company_name
0       margin_growth    0.974697   TATACOFFEE
1       margin_safety     3.91189   TATACOFFEE
2             ROA_pos           1   TATACOFFEE
3               fcfta           1   TATACOFFEE
4         accrual_pos           1   TATACOFFEE
5              fs_roa           1   TATACOFFEE
6           f_accrual           0   TATACOFFEE
7               lever           1   TATACOFFEE
8              liquid           1   TATACOFFEE
9   equity_repurchase           0   TATACOFFEE
10         asset_turn           0   TATACOFFEE
11          fs_margin           1   TATACOFFEE
JSWENERGY,           Ratio_name Ratio_value company_name
0       margin_growth     1.01608    JSWENERGY
1       margin_safety     4.38739    JSWENERGY
2             ROA_pos           1    JSWENERGY
3               fcfta           0    JSWENERGY
4         accrual_pos           1    JSWENERGY
5              fs_roa           0    JSWENERGY
6           f_accrual           0    JSWENERGY
7               lever           1    JSWENERGY
8              liquid           1    JSWENERGY
9   equity_repurchase           0    JSWENERGY
10         asset_turn           0    JSWENERGY
11          fs_margin           0    JSWENERGY
TRIDENT,           Ratio_name Ratio_value company_name
0       margin_growth    0.933169      TRIDENT
1       margin_safety     4.49834      TRIDENT
2             ROA_pos           1      TRIDENT
3               fcfta           0      TRIDENT
4         accrual_pos           0      TRIDENT
5              fs_roa           0      TRIDENT
6           f_accrual           0      TRIDENT
7               lever           1      TRIDENT
8              liquid           0      TRIDENT
9   equity_repurchase           0      TRIDENT
10         asset_turn           0      TRIDENT
11          fs_margin           1      TRIDENT
SJVN,           Ratio_name Ratio_value company_name
0       margin_growth    0.993713         SJVN
1       margin_safety     5.11042         SJVN
2             ROA_pos           1         SJVN
3               fcfta           0         SJVN
4         accrual_pos           0         SJVN
5              fs_roa           0         SJVN
6           f_accrual           0         SJVN
7               lever           1         SJVN
8              liquid           0         SJVN
9   equity_repurchase           1         SJVN
10         asset_turn           0         SJVN
11          fs_margin           0         SJVN
CONCOR,           Ratio_name Ratio_value company_name
0       margin_growth    0.972429       CONCOR
1       margin_safety     4.36425       CONCOR
2             ROA_pos           1       CONCOR
3               fcfta           1       CONCOR
4         accrual_pos           1       CONCOR
5              fs_roa           1       CONCOR
6           f_accrual           0       CONCOR
7               lever           1       CONCOR
8              liquid           0       CONCOR
9   equity_repurchase           0       CONCOR
10         asset_turn           0       CONCOR
11          fs_margin           0       CONCOR
EIHOTEL,           Ratio_name Ratio_value company_name
0       margin_growth     1.09515      EIHOTEL
1       margin_safety     1.35816      EIHOTEL
2             ROA_pos           0      EIHOTEL
3               fcfta           1      EIHOTEL
4         accrual_pos           0      EIHOTEL
5              fs_roa           0      EIHOTEL
6           f_accrual           1      EIHOTEL
7               lever           1      EIHOTEL
8              liquid           0      EIHOTEL
9   equity_repurchase           0      EIHOTEL
10         asset_turn           0      EIHOTEL
11          fs_margin           0      EIHOTEL
BOSCHLTD,           Ratio_name Ratio_value company_name
0       margin_growth     1.02284     BOSCHLTD
1       margin_safety     4.05732     BOSCHLTD
2             ROA_pos           1     BOSCHLTD
3               fcfta           0     BOSCHLTD
4         accrual_pos           1     BOSCHLTD
5              fs_roa           0     BOSCHLTD
6           f_accrual           0     BOSCHLTD
7               lever           1     BOSCHLTD
8              liquid           1     BOSCHLTD
9   equity_repurchase           0     BOSCHLTD
10         asset_turn           0     BOSCHLTD
11          fs_margin           0     BOSCHLTD
VBL,           Ratio_name Ratio_value company_name
0       margin_growth    0.806921          VBL
1       margin_safety     4.73055          VBL
2             ROA_pos           1          VBL
3               fcfta           0          VBL
4         accrual_pos           0          VBL
5              fs_roa           0          VBL
6           f_accrual           0          VBL
7               lever           1          VBL
8              liquid           0          VBL
9   equity_repurchase           0          VBL
10         asset_turn           0          VBL
