,key stats,mar21,mar20,mar19,mar18,mar17,company,mar16,mar15,mar14,mar13,mar12
0,Key Financial Ratios of Adani Ports and Special Economic Zone (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,ADANIPORTS.NS,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
1,Per Share Ratios,,,,,,ADANIPORTS.NS,,,,,
2,Basic EPS (Rs.),9.49,9.43,12.74,11.63,14.97,ADANIPORTS.NS,14.31,10.55,9.80,8.76,5.88
3,Diluted EPS (Rs.),9.49,9.43,12.74,11.63,14.97,ADANIPORTS.NS,14.31,10.55,9.80,8.76,5.88
4,Cash EPS (Rs.),12.54,12.24,15.03,13.90,17.58,ADANIPORTS.NS,16.82,12.91,11.94,10.47,7.24
5,Book Value [ExclRevalReserve]/Share (Rs.),106.48,96.95,98.15,87.48,80.63,ADANIPORTS.NS,65.51,54.11,45.09,33.45,26.05
6,Book Value [InclRevalReserve]/Share (Rs.),106.48,96.95,98.15,87.48,80.63,ADANIPORTS.NS,65.51,54.11,45.09,33.45,26.05
7,Dividend / Share(Rs.),5.00,3.20,0.20,2.00,1.30,ADANIPORTS.NS,1.10,1.10,1.00,1.00,1.00
8,Revenue from Operations/Share (Rs.),21.54,22.85,25.77,31.55,23.56,ADANIPORTS.NS,22.30,18.89,20.99,16.78,12.39
9,PBDIT/Share (Rs.),28.82,21.35,27.43,29.23,24.30,ADANIPORTS.NS,21.97,16.16,16.52,13.34,8.74
10,PBIT/Share (Rs.),25.77,18.62,25.14,26.96,21.69,ADANIPORTS.NS,19.47,13.80,14.32,11.64,7.38
11,PBT/Share (Rs.),14.32,10.00,17.69,18.49,15.90,ADANIPORTS.NS,15.00,10.38,10.68,9.43,6.34
12,Net Profit/Share (Rs.),9.49,9.52,12.74,11.63,14.97,ADANIPORTS.NS,14.31,10.55,9.74,8.76,5.88
13,Profitability Ratios,,,,,,ADANIPORTS.NS,,,,,
14,PBDIT Margin (%),133.77,93.40,106.46,92.65,103.13,ADANIPORTS.NS,98.51,85.57,78.69,79.54,70.58
15,PBIT Margin (%),119.63,81.48,97.58,85.45,92.05,ADANIPORTS.NS,87.27,73.07,68.20,69.35,59.56
16,PBT Margin (%),66.47,43.75,68.65,58.60,67.49,ADANIPORTS.NS,67.24,54.94,50.85,56.20,51.15
17,Net Profit Margin (%),44.04,41.65,49.42,36.85,63.55,ADANIPORTS.NS,64.17,55.84,46.39,52.19,47.43
