date,FIICash,DIIcash,Percentage_above_5_dma,Percentage_above_10_dma,Above_15_dma,Percentage_above_20_dma,VIX,GoldPrice,USD_INR,IN10YR,MMI_sentiment,IN10YR_yield,open,high,low,close
13-08-2018,-972,216,44,52,62,64,13.4,26.563999,,93.8,,8.0302,11369.6,11406.3,11340.3,11355.75
14-08-2018,-379,391,66,62,64,68,13.2825,26.44,,93.8,,8.0305,11397.15,11449.85,11366.25,11385.05
16-08-2018,-825,134,54,58,68,68,13.645,26.288999,,93.46,,8.0919,11437.15,11486.45,11431.8,11470.75
17-08-2018,147,152,68,68,72,74,13.16,26.211499,,93.5,,8.0851,11502.1,11565.3,11499.65,11551.75
20-08-2018,-483,593,78,80,82,86,13.0325,26.216499,,93.71,,8.0486,11576.2,11581.75,11539.6,11570.9
21-08-2018,254,198,74,76,80,80,12.9025,26.3825,,93.71,,8.0489,11620.7,11620.7,11546.7,11582.75
23-08-2018,433,142,70,72,76,80,12.7575,26.351001,,93.58,,8.0722,11566.6,11604.6,11532,11557.1
24-08-2018,-76,905,56,64,68,68,12.4075,26.42,,93.43,,8.0994,11605.85,11700.95,11595.6,11691.95
27-08-2018,253,1117,80,78,78,74,12.2375,26.688501,,93.55,,8.055,11731.95,11760.2,11710.5,11738.5
28-08-2018,-161,-199,66,82,80,82,12.425,26.9405,,93.55,,8.0782,11744.95,11753.2,11678.85,11691.9
29-08-2018,-1416,1114,66,74,72,78,12.435,26.903501,,93.41,,8.0793,11694.75,11698.8,11639.7,11676.8
30-08-2018,-1416,1114,68,70,72,70,12.4125,26.983999,,93.45,,8.1048,11675.85,11727.65,11640.1,11680.5
31-08-2018,-213,172,68,72,72,76,12.5975,27.0475,,93.31,,8.098,11751.8,11751.8,11567.4,11582.35
03-09-2018,-21,-542,52,58,66,68,13.3925,26.8825,,92.598,,8.1235,11598.75,11602.55,11496.85,11520.3
04-09-2018,33,-21,26,42,46,54,13.7825,26.933999,,92.6,,8.2527,11514.85,11542.65,11393.85,11476.95
05-09-2018,-384,177,30,40,46,54,13.65,26.988501,,93.01,,8.253,11514.15,11562.25,11436.05,11536.9
06-09-2018,-455,612,48,48,52,58,13.7225,27.2445,,93.01,,8.1789,11558.25,11603,11484.4,11589.1
07-09-2018,38,942,60,62,60,62,13.89,27.091499,,92.598,,8.1791,11570.25,11573,11427.3,11438.1
10-09-2018,-842,-290,34,42,50,54,15.2025,27.183,,92.598,,8.2545,11476.85,11479.4,11274,11287.5
11-09-2018,-1454,750,16,20,32,36,15.33,27.2975,,92.595,,8.2554,11340.1,11380.75,11250.2,11369.9
12-09-2018,-1086,541,36,38,40,44,14.25,27.281001,,92.595,,8.2561,11443.5,11523.25,11430.55,11515.2
14-09-2018,1091,115,76,62,60,60,13.8425,27.1855,,92.595,,8.2564,11464.95,11464.95,11366.9,11377.75
17-09-2018,-107,-180,52,48,52,54,14.495,27.316499,,92.6,,8.2564,11381.55,11411.45,11268.95,11278.9
18-09-2018,-1144,265,34,38,42,40,14.415,27.463999,,92.5,,8.256,11326.65,11332.05,11210.9,11234.35
19-09-2018,-2185,1201,34,36,38,42,14.005,27.498501,,92.5,,8.2568,11271.3,11346.8,10866.45,11143.1
21-09-2018,761,497,28,26,28,34,15.535,27.398,,92.5,,8.2754,11164.4,11170.15,10943.6,10967.4
24-09-2018,-524,1528,20,22,30,34,17.4275,27.343999,,92.68,,8.2757,10969.95,11080.6,10882.85,11067.45
25-09-2018,-1232,2284,32,32,32,34,16.682501,27.348,,93.1,,8.2757,11145.55,11145.55,10993.05,11053.8
26-09-2018,-810,1555,38,30,30,38,17.0875,27.296499,,93.2,,8.254,11079.8,11089.45,10953.35,10977.55
27-09-2018,552,-187,30,26,28,36,16.922501,27.248501,,93.1,,8.2433,11008.1,11034.1,10850.3,10930.45
28-09-2018,-1700,3256,20,16,20,20,16.995001,27.028,,93.5,,8.1677,10930.9,11035.65,10821.55,11008.3
01-10-2018,-1842,1805,36,26,24,22,16.834999,27.167,,93.5,,8.15,10982.7,10989.05,10843.75,10858.25
03-10-2018,-1550,1402,18,22,20,20,18.1175,27.993501,,92.5,,8.1685,10754.7,10754.7,10547.25,10599.25
04-10-2018,-2761,1824,8,4,6,4,18.915001,27.7875,,93,,8.0962,10514.1,10540.65,10261.9,10316.45
05-10-2018,-3370,1902,6,2,4,8,19.7325,27.881499,,93,,8.0969,10310.15,10398.35,10198.4,10348.05
08-10-2018,-1805,1974,12,4,4,2,20.147499,27.736001,,93.4,,8.1114,10390.3,10397.6,10279.35,10301.05
09-10-2018,-1242,1526,18,6,4,4,19.754999,27.661499,,93.25,,8.2795,10331.85,10482.35,10318.25,10460.1
10-10-2018,-1096,1893,54,30,16,12,17.907499,27.7245,,93.45,,8.1883,10169.8,10335.95,10138.6,10234.65
11-10-2018,-2869,1888,16,6,4,4,20.547501,27.968,,93.55,,8.1886,10331.55,10492.45,10322.15,10472.5
12-10-2018,-1322,1287,76,40,26,12,18.627501,28.142,,93.6,,8.1161,10524.2,10526.3,10410.15,10512.5
15-10-2018,68,295,64,44,24,20,18.885,28.501499,,93.8,,8.1441,10550.15,10604.9,10525.3,10584.75
16-10-2018,-1166,1059,76,52,42,26,17.372499,28.2945,,93.85,,8.108,10688.7,10710.15,10436.45,10453.05
17-10-2018,140,-343,44,44,26,20,17.98,28.352,,94.1,,8.0901,10339.7,10380.1,10249.6,10303.55
19-10-2018,-618,-2,24,26,26,16,19.7875,28.5655,,93.8,,8.0816,10405.85,10408.55,10224,10245.3
22-10-2018,-512,303,26,30,24,22,21.3575,28.358,,94.2,,8.0461,10152.6,10222.1,10102.35,10146.8
23-10-2018,-340,116,24,22,20,16,19.0375,28.491499,,94.45,,8.0373,10278.15,10290.65,10126.7,10224.8
24-10-2018,-2047,1874,34,30,26,22,18.879999,28.3505,,94.4,,7.9924,10135.05,10166.6,10079.3,10124.9
25-10-2018,-1496,340,24,24,20,20,18.9625,28.368999,,94.42,,8.0466,10122.35,10128.85,10004.55,10030
26-10-2018,-1357,1876,20,16,12,12,19.2325,28.502,,95,,8.0107,10078.1,10275.3,10020.35,10250.9
29-10-2018,-2231,2527,68,46,34,32,19.825001,28.3505,,94.5,,7.9749,10239.4,10285.1,10175.35,10198.4
30-10-2018,-1592,1363,66,46,36,28,20.502501,28.241001,,94.55,,7.9306,10209.55,10396,10105.1,10386.6
31-10-2018,-194,1125,68,60,50,42,19.797501,28.3705,,94.51,,7.9398,10441.7,10441.9,10341.9,10380.45
01-11-2018,349,-509,70,66,48,36,19.192499,28.431499,,94.51,,7.9362,10462.3,10606.95,10457.7,10553
02-11-2018,-197,853,76,74,66,56,18.23,28.205,,94.51,,7.8325,10558.75,10558.8,10477,10524
05-11-2018,12,-622,70,74,72,60,19.4825,28.44,,94.51,,7.9223,10552,10600.25,10491.45,10530
06-11-2018,-500,119,70,74,62,58,18.504999,28.3175,,94.51,,7.914,10614.45,10616.45,10582.3,10598.4
07-11-2018,,,84,82,80,70,17.877501,28.303,,94.51,,7.9214,10614.7,10619.55,10544.85,10585.2
09-11-2018,614,-337,70,78,74,66,17.764999,28.0075,,95,,7.9216,10607.8,10645.5,10464.05,10482.2
12-11-2018,832,-1074,36,56,54,52,19.3675,27.703999,,95,,7.9221,10451.9,10596.25,10440.55,10582.5
13-11-2018,-495,336,66,68,66,64,18.695,27.69,,95.55,,7.9228,10634.9,10651.6,10532.7,10576.3
14-11-2018,277,-272,58,64,60,58,18.825001,27.7,,95.4,,7.923,10580.6,10646.5,10557.5,10616.7
15-11-2018,2043,-165,68,68,68,68,18.455,27.615,,95.15,,7.9233,10644,10695.15,10631.15,10682.2
16-11-2018,845,-372,66,66,68,66,18.35,27.511499,,94.5,,7.8352,10731.25,10774.7,10688.8,10763.4
19-11-2018,1103,-310,72,78,74,72,19.254999,27.533,,94.5,,7.8516,10740.1,10740.85,10640.85,10656.2
20-11-2018,-753,-44,40,54,58,60,19.254999,27.531001,,94.5,,7.8356,10670.95,10671.3,10562.35,10600.05
21-11-2018,-1652,607,44,56,60,58,19.555,27.513501,,95.78,,7.738,10612.65,10646.25,10512,10526.75
22-11-2018,446,50,26,48,54,54,19.16,27.502,,95.78,,7.7222,10568.3,10637.8,10489.75,10628.6
26-11-2018,63,352,52,50,58,58,20.4025,27.293,,95.84,,7.8098,10621.45,10695.15,10596.35,10685.6
27-11-2018,812,31,52,60,62,62,18.315001,27.248,,96.1,,7.927,10708.75,10757.8,10699.85,10728.85
28-11-2018,961,-330,46,52,56,56,17.959999,27.0105,,,,7.928,10808.7,10883.05,10782.35,10858.7
29-11-2018,823,973,72,66,66,66,18.6975,27.111001,,,,7.9283,10892.1,10922.45,10835.1,10876.75
30-11-2018,-333,1490,60,70,74,70,19.1625,26.9855,,,,7.6988,10930.7,10941.2,10845.35,10883.75
03-12-2018,293,-806,70,68,70,70,18.2225,27.263501,,,,7.699,10877.1,10890.95,10833.35,10869.5
04-12-2018,-56,-521,54,62,66,70,18.1075,27.5455,,97.05,,7.6883,10820.45,10821.05,10747.95,10782.9
05-12-2018,-358,-792,32,40,52,58,18.389999,27.3875,,96.72,,7.6885,10718.15,10722.65,10588.25,10601.15
06-12-2018,72,-390,4,18,22,28,19.305,27.632,,96.72,,7.6428,10644.8,10704.55,10599.35,10693.7
07-12-2018,-817,243,26,28,36,44,18.59,27.526499,,96.25,,7.6075,10508.7,10558.85,10474.95,10488.45
10-12-2018,116,-146,4,16,18,24,20.4375,28.101001,,96.25,,7.6077,10350.05,10567.15,10333.85,10549.15
11-12-2018,-2421,2256,32,28,28,34,17.945,28.182,,97,,7.6256,10591,10752.2,10560.8,10737.6
12-12-2018,-1299,1121,94,74,66,64,15.81,28.0455,,97.1,,7.608,10810.75,10838.6,10749.5,10791.55
13-12-2018,675,-52,86,76,64,60,15.55,27.933,,96.96,,7.4762,10784.5,10815.75,10752.1,10805.45
14-12-2018,862,-303,82,78,74,70,15.1575,27.866001,,97.3,,7.5344,10853.2,10900.35,10844.85,10888.35
17-12-2018,-61,-77,86,82,84,86,14.54,27.822,,97.4,,7.5346,10850.9,10915.4,10819.1,10908.7
18-12-2018,145,-183,84,92,86,84,14.5775,27.717,,97.9,,7.618,10930.55,10985.15,10928,10967.3
19-12-2018,1209,-481,74,82,82,84,14.66,27.573501,,97.9,,7.6182,10885.2,10962.55,10880.05,10951.7
20-12-2018,-386,88,76,78,82,80,14.3325,27.5845,,97.9,,7.486,10944.25,10963.65,10738.65,10754
21-12-2018,134,-489,32,42,56,56,15.9925,27.7325,,97.8,,7.4685,10780.9,10782.3,10649.25,10663.5
24-12-2018,-577,186,18,28,34,34,15.75,27.877,,97.8,,7.4933,10635.45,10747.5,10534.55,10729.85
26-12-2018,80,-138,34,36,40,48,15.92,27.9855,,97.95,,7.4336,10817.9,10834.2,10764.45,10779.8
27-12-2018,1732,-663,48,50,56,56,16.0725,28.0455,,97.75,,7.4162,10820.95,10893.6,10817.15,10859.9
28-12-2018,-120,1199,74,74,70,66,15.27,28.1495,,97.2,,7.3291,10913.2,10923.55,10853.2,10862.55
31-12-2018,-327,322,78,78,74,72,16,28.0205,,97.2,,7.3293,10881.7,10923.6,10807.1,10910.1
01-01-2019,,,64,68,68,62,15.325,28.178,,97.68,,7.3295,10868.85,10895.35,10735.05,10792.5
02-01-2019,-621,-226,28,40,48,52,16.387501,28.288501,,97.4,,7.347,10796.8,10814.05,10661.25,10672.25
03-01-2019,-973,35,22,24,28,34,16.790001,28.4705,,97.15,,7.3473,10699.7,10741.05,10628.65,10727.35
04-01-2019,-158,241,40,38,42,40,16.1625,28.298,,97.02,,7.3211,10804.85,10835.95,10750.15,10771.8
07-01-2019,-158,241,48,50,50,50,16.3025,28.2245,,97.2,,7.3212,10786.25,10818.45,10733.25,10802.15
08-01-2019,-554,698,48,42,44,42,15.7,28.163999,,97.05,,7.3563,10862.4,10870.4,10749.4,10855.15
09-01-2019,276,440,54,52,54,52,15.27,28.336001,,97,,7.4531,10859.35,10859.35,10801.8,10821.6
10-01-2019,-345,11,58,42,46,44,15.345,28.578999,,97.35,,7.41800022,10834.75,10850.15,10739.4,10794.95
11-01-2019,-687,123,42,42,42,44,15.3525,28.533999,,97.35,,7.35400009,10807,10808,10692.35,10737.6
14-01-2019,-732,527,28,34,36,36,16.157499,28.61,,97.35,,7.42700005,10777.55,10896.95,10777.55,10886.8
15-01-2019,160,417,68,62,56,54,15.5825,28.621001,,97.15,,7.44799995,10899.65,10928.15,10876.9,10890.3
16-01-2019,-90,304,62,56,58,56,16.077499,28.713501,,96.78,,7.5079999,10920.85,10930.65,10844.65,10905.2
17-01-2019,842,-727,54,54,54,56,16.2425,28.813,,96.78,,7.454,10914.85,10928.2,10852.2,10906.95
18-01-2019,-125,-1,48,54,52,52,16.6175,28.648,,96.78,,7.46999979,10919.35,10987.45,10885.75,10961.85
21-01-2019,-300,521,36,40,48,50,18.147499,28.5825,,96.78,,7.47599983,10949.8,10949.8,10864.15,10922.75
22-01-2019,-79,-84,34,42,44,44,17.985001,28.727,,96.78,,7.50299978,10931.05,10944.8,10811.95,10831.5
23-01-2019,-776,584,28,34,36,38,18.084999,28.731499,,96.78,,7.43100023,10844.05,10866.6,10798.65,10849.8
24-01-2019,-94,390,34,30,34,36,17.434999,28.586499,,96.78,,7.47300005,10859.75,10931.7,10756.45,10780.55
25-01-2019,689,-147,28,30,30,30,17.690001,28.6695,,96.85,,7.5630002,10792.45,10804.45,10630.95,10661.55
28-01-2019,223,92,18,18,20,24,18.897499,28.9825,,97.1,,7.54899979,10653.7,10690.35,10583.65,10652.2
29-01-2019,-354,81,30,22,30,30,18.4275,29.167,,97,,7.59600019,10702.25,10710.2,10612.85,10651.8
30-01-2019,130,502,48,34,32,34,17.85,29.236001,,97,,7.56899977,10690.55,10838.05,10678.55,10830.95
31-01-2019,3006,-1634,74,58,52,48,17.122499,29.348501,,97,,7.53299999,10851.35,10983.45,10813.45,10893.65
01-02-2019,1316,-5,80,70,58,52,15.72,29.4675,,97,,7.57700014,10876.75,10927.9,10814.15,10912.25
04-02-2019,-112,-65,54,56,56,44,15.7225,29.4655,,96.35,,7.55700016,10908.65,10956.7,10886.7,10934.35
05-02-2019,421,194,52,50,48,46,15.78,29.505,,96.25,,7.546,10965.1,11072.6,10962.7,11062.45
06-02-2019,695,525,80,70,64,58,15.63,29.64,,97.2,,7.54099989,11070.45,11118.1,11043.6,11069.4
07-02-2019,418,294,78,78,70,62,15.435,29.293999,,97.2,,7.5250001,11023.5,11041.2,10925.45,10943.6
08-02-2019,844,-960,44,50,48,48,15.5675,29.213999,,97.2,,7.55100012,10930.9,10930.9,10857.1,10888.8
11-02-2019,-125,-233,34,44,50,48,15.84,29.301001,,96.6,,7.4829998,10879.7,10910.9,10823.8,10831.4
12-02-2019,-467,-123,34,40,44,46,15.75,29.2055,,97.15,,7.61000013,10870.55,10891.65,10772.1,10793.65
13-02-2019,,,28,32,30,34,15.73,29.148501,,97.15,,7.67199993,10786.1,10792.7,10718.75,10746.05
14-02-2019,-250,1225,20,26,28,32,15.7725,29.2055,,97.3,,7.61499977,10780.25,10785.75,10620.4,10724.4
15-02-2019,-966,853,20,16,22,22,16.459999,29.467,,96.86,,7.56500006,10738.65,10759.9,10628.4,10640.95
18-02-2019,-1240,2337,16,12,14,16,18,29.695,,96.86,,7.50099993,10636.7,10722.85,10585.65,10604.35
19-02-2019,-814,1164,64,46,44,44,18.467501,29.771499,,97.3,,7.52400017,10655.45,10752.7,10646.4,10735.45
20-02-2019,713,113,76,60,52,50,17.055,29.9205,,97.45,,7.52899981,10744.1,10808.85,10721.5,10789.85
21-02-2019,55,202,76,68,54,50,16.0525,29.686001,,97.2,,7.53399992,10782.7,10801.55,10758.4,10791.65
22-02-2019,6311,839,86,82,64,58,15.45,29.505,,97,,7.46600008,10813.25,10887.1,10788.05,10880.1
25-02-2019,2134,-1746,68,66,62,58,15.3575,29.568999,,97,,7.52099991,10775.3,10888.75,10729.3,10835.3
26-02-2019,1674,-720,60,58,56,52,17.115,29.536499,,97,,7.57700014,10881.2,10939.7,10751.2,10806.65
27-02-2019,423,67,58,58,54,50,18.897499,29.596001,,97,,7.57999992,10865.7,10865.7,10784.85,10792.5
28-02-2019,3211,-5241,72,70,68,66,18.2775,29.5025,,97.05,,7.54500008,10842.65,10877.9,10823.1,10863.5
01-03-2019,198,117,80,80,80,76,16.275,29.073999,,97.05,,7.54400015,10864.85,10994.9,10817,10987.45
05-03-2019,752,581,80,80,78,78,15.6575,28.4755,,97.49,,7.60500002,11024.85,11062.3,10998.85,11053
06-03-2019,1131,-878,72,78,76,80,15.61,28.521001,,97.5,,7.58400011,11077.95,11089.05,11027.1,11058.2
07-03-2019,1138,-925,56,64,68,70,15.2925,28.3245,,97.1,,7.58699989,11038.85,11049,11008.95,11035.4
08-03-2019,1095,-471,80,82,82,84,14.94,28.468501,,97.5,,7.67199993,11068.75,11180.9,11059.85,11168.05
11-03-2019,3811,-1956,84,84,82,82,14.895,28.502,,97.5,,7.59100008,11231.35,11320.4,11227,11301.2
12-03-2019,2478,-990,68,78,82,84,15.0975,28.358501,,97.5,,7.55600023,11326.2,11352.3,11276.6,11341.7
