Date,feat_Div_Yield,feat_PB,feat_PE,Open,High,Low,Close,new_high_new_low,nifty_above_dma,sector,FIICash,DIIcash
24-Sep-19,1.32,3.52,28.49,11590.7,11655.05,11539.2,11588.2,1,56.6,-6.56E-05,-828,473
25-Sep-19,1.34,3.47,25.92,11564.85,11564.95,11416.1,11440.2,-1,57,0.000315548,-342,-762
26-Sep-19,1.33,3.51,26.22,11469.85,11610.85,11466.35,11571.2,-5,54.6,0.000433363,737,339
27-Sep-19,1.3,3.55,26.52,11556.35,11593.6,11499.75,11512.4,19,56.6,0.000666788,-214,459
30-Sep-19,1.31,3.53,26.44,11491.15,11508.25,11390.8,11474.45,23,57.6,0.000789575,-469,505
01-Oct-19,1.32,3.5,26.17,11515.4,11554.2,11247.9,11359.9,4,57.8,0.000829237,-1299,1503
03-Oct-19,1.32,3.48,26.07,11322.25,11370.4,11257.35,11314,-1,57,0.000948624,-811,863
04-Oct-19,1.34,3.44,25.75,11388.45,11400.3,11158.35,11174.75,10,58.2,0.0010185,-683,606
07-Oct-19,1.35,3.43,25.64,11196.2,11233.85,11112.65,11126.4,3,57.4,0.001089401,-494,905
09-Oct-19,1.32,3.49,26.13,11152.95,11321.6,11090.15,11313.3,3,57.2,0.001040885,-485,956
10-Oct-19,1.33,3.47,25.95,11280.5,11293.35,11208.55,11234.55,-1,59.2,0.001136642,-263,503
11-Oct-19,1.32,3.49,26.11,11257.7,11362.9,11189.4,11305.05,-2,60.2,0.001089031,750,-703
14-Oct-19,1.32,3.5,26.2,11335.9,11420.45,11290.05,11341.15,1,61,0.001209452,896,-425
15-Oct-19,1.31,3.53,26.4,11360.85,11462.35,11342.1,11428.3,-2,55.8,0.001215723,436,929
16-Oct-19,1.3,3.54,26.48,11464.95,11481.05,11411.1,11464,-3,52.8,0.001303973,686,1577
17-Oct-19,1.29,3.58,26.76,11466.3,11599.1,11439.65,11586.35,2,49,0.00146441,1159,-512
18-Oct-19,1.28,3.6,26.94,11580.3,11684.7,11553.15,11661.85,-1,48.6,0.001706569,37,587
22-Oct-19,1.29,3.58,26.71,11657.15,11714.35,11573.65,11588.35,3,48.4,0.002010193,-558,-985
23-Oct-19,1.29,3.58,26.75,11596.2,11651.6,11554.4,11604.1,4,50,0.002257888,-213,-137
24-Oct-19,1.29,3.58,26.7,11661.65,11679.6,11534.65,11582.6,8,51.2,0.002392462,-73,-739
25-Oct-19,1.29,3.58,26.7,11646.15,11646.9,11490.75,11583.9,11,55.8,0.002324743,-73,-739
27-Oct-19,1.29,3.59,26.8,11662.25,11672.4,11604.6,11627.15,11,60.8,0.002351584,877,145
29-Oct-19,1.27,3.64,27.17,11643.95,11809.4,11627.35,11786.85,14,67,0.002346152,7192,-186
30-Oct-19,1.26,3.66,27.3,11883.9,11883.95,11784.45,11844.1,7,73.2,0.002386619,1871,-651
31-Oct-19,1.26,3.67,27.38,11890.45,11945,11855.1,11877.45,9,76.6,0.002256663,533,-137
01-Nov-19,1.26,3.67,27.47,11886.6,11918.3,11843.35,11890.6,8,79.2,0.00216306,-139,-500
04-Nov-19,1.25,3.69,27.59,11928.9,11989.15,11905.35,11941.3,6,80.8,0.002122235,473,-1594
05-Nov-19,1.25,3.68,27.59,11974.6,11978.95,11861.9,11917.2,17,81.6,0.002012171,1011,-1117
06-Nov-19,1.25,3.7,27.71,11911.5,12002.9,11850.25,11966.05,18,80.8,0.001970769,927,-636
