Company Name|Last Price|Chg|Chg %|Dely %|5-Day Avg Del %|Delivery Volumes|5-Day Avg Deliverable|Traded Volumes
Adani Enterpris|2315.00|-17.90|-0.77|32.44|32.40|333,100|389,859|1,026,965
Adani Ports|1506.20|22.30|1.50|41.34|48.98|1,648,040|1,023,881|3,986,754
Apollo Hospital|7393.00|62.50|0.85|64.72|66.89|176,364|217,874|272,489
Asian Paints|2874.00|-1.80|-0.06|44.94|64.21|256,351|1,138,784|570,376
Axis Bank|1290.20|23.90|1.89|67.87|69.80|3,286,086|4,412,102|4,842,021
Bajaj Auto|9164.00|116.00|1.28|56.93|59.12|201,606|214,351|354,143
Bajaj Finance|1010.70|24.50|2.48|67.76|70.70|6,621,753|5,300,696|9,772,235
Bajaj Finserv|2085.10|54.90|2.70|54.81|56.58|508,870|637,687|928,388
Bharat Elec|415.30|5.05|1.23|51.62|56.77|4,304,611|7,380,723|8,339,381
Bharti Airtel|2126.80|-34.80|-1.61|85.05|76.76|36,720,213|11,382,257|43,174,047
Cipla|1523.80|16.30|1.08|71.08|69.92|773,204|953,884|1,087,736
Coal India|377.35|7.30|1.97|63.09|59.85|2,588,001|2,586,788|4,102,285
Dr Reddys Labs|1248.00|11.90|0.96|67.40|67.30|545,851|1,642,346|809,816
Eicher Motors|7198.50|-20.00|-0.28|60.88|54.43|190,897|389,334|313,545
Eternal|306.85|4.55|1.51|54.01|62.17|7,824,771|12,877,815|14,488,702
Grasim|2744.00|57.20|2.13|60.07|65.18|267,283|379,583|444,974
HCL Tech|1617.90|16.80|1.05|56.31|68.87|700,079|2,149,286|1,243,303
HDFC Bank|1003.90|14.10|1.42|54.14|63.27|10,553,283|14,430,032|19,494,356
HDFC Life|787.55|21.00|2.74|58.38|68.24|1,754,980|2,187,412|3,006,211
HUL|2425.20|11.10|0.46|65.97|70.16|819,776|1,377,063|1,242,683
Hindalco|800.80|11.45|1.45|48.18|52.40|1,851,390|2,799,685|3,842,280
ICICI Bank|1375.00|17.20|1.27|63.73|63.66|6,155,439|7,562,938|9,659,004
ITC|402.30|1.50|0.37|68.45|68.53|7,833,650|5,918,451|11,443,953
Infosys|1557.90|27.30|1.78|60.02|60.13|4,546,624|6,196,260|7,575,038
Interglobe Avi|5913.00|138.00|2.39|65.73|56.22|341,838|344,302|520,063
JSW Steel|1154.40|42.40|3.81|25.12|46.28|544,535|715,093|2,167,703
Jio Financial|308.00|7.20|2.39|54.94|56.37|4,881,611|4,749,400|8,885,249
Kotak Mahindra|2103.80|33.90|1.64|68.29|76.29|2,034,701|3,994,075|2,979,343
Larsen|4062.00|65.30|1.63|57.56|55.64|1,184,804|901,027|2,058,237
M&M|3686.40|17.10|0.47|62.13|64.48|1,315,000|1,662,446|2,116,524
Maruti Suzuki|16156.00|267.00|1.68|58.74|62.34|185,011|235,774|314,946
Max Healthcare|1162.60|4.50|0.39|56.60|61.13|634,609|1,339,530|1,121,189
NTPC|326.10|2.40|0.74|63.46|68.55|4,506,543|5,510,516|7,101,095
Nestle|1276.80|13.60|1.08|61.73|65.96|500,476|789,293|810,809
ONGC|247.70|2.35|0.96|70.67|72.67|5,111,527|6,772,411|7,232,643
Power Grid Corp|275.05|1.60|0.59|66.45|80.20|5,550,881|15,804,510|8,352,869
Reliance|1569.90|30.20|1.96|60.92|62.04|8,561,296|9,343,897|14,054,299
SBI|983.90|0.30|0.03|60.82|60.51|8,480,096|5,422,246|13,943,490
SBI Life Insura|2029.10|-1.90|-0.09|68.34|72.01|564,552|789,076|826,123
Shriram Finance|856.60|18.35|2.19|51.86|55.31|3,657,870|3,056,374|7,052,927
Sun Pharma|1804.90|28.10|1.58|58.13|71.23|673,708|1,446,692|1,158,948
TATA Cons. Prod|1185.30|7.60|0.65|46.55|71.36|332,088|1,730,491|713,335
TCS|3162.90|43.70|1.40|64.46|62.38|1,616,953|2,348,957|2,508,527
TMPV|359.25|6.80|1.93|45.43|55.18|5,965,110|7,196,487|13,130,211
Tata Steel|169.67|3.34|2.01|36.03|53.69|5,421,115|11,877,498|15,044,796
Tech Mahindra|1520.40|25.70|1.72|54.24|52.19|863,968|1,618,986|1,592,891
Titan Company|3897.70|42.60|1.11|47.12|63.47|171,792|437,766|364,592
Trent|4292.40|48.50|1.14|50.45|60.74|405,678|472,893|804,098
UltraTechCement|11759.00|179.00|1.55|71.00|68.79|133,117|161,287|187,481
Wipro|250.19|4.55|1.85|58.52|57.91|4,800,038|5,596,743|8,202,096
