Date,FIICash,DIIcash
2020-09-21,-540.0,-518.0
2020-09-22,-2073.0,879.0
2020-09-23,-3912.0,1629.0
2020-09-24,-1886.0,189.0
2020-09-25,-2080.0,2071.0
2020-09-28,-27.0,542.0
2020-09-29,-1457.0,577.0
2020-09-30,-712.0,409.0
2020-10-01,1632.0,259.0
2020-10-05,237.0,-472.0
2020-10-06,1102.0,-935.0
2020-10-07,1094.0,-1129.0
2020-10-08,978.0,20.0
2020-10-09,-39.0,127.0
2020-10-12,615.0,-1029.0
2020-10-13,832.0,-1674.0
2020-10-14,822.0,-1276.0
2020-10-15,-604.0,-808.0
2020-10-16,-480.0,-430.0
2020-10-19,1657.0,-1622.0
2020-10-20,1585.0,-1633.0
2020-10-21,2108.0,-1634.0
2020-10-22,1118.0,-2020.0
2020-10-23,907.0,-892.0
2020-10-26,-119.0,-979.0
2020-10-27,3515.0,-1571.0
2020-10-28,-1131.0,1.0
2020-10-29,-421.0,-253.0
2020-10-30,-871.0,631.0
2020-11-02,741.0,-534.0
2020-11-03,2274.0,-1101.0
2020-11-04,146.0,-8.0
2020-11-05,5368.0,-2208.0
2020-11-06,4870.0,-2939.0
2020-11-09,4548.0,-3036.0
2020-11-10,5627.0,-2309.0
2020-11-11,6207.0,-3464.0
2020-11-12,1514.0,-2239.0
2020-11-13,1936.0,-2462.0
2020-11-14,-79.0,-20.0
2020-11-17,4905.0,-3829.0
2020-11-18,3072.0,-2790.0
2020-11-19,1181.0,-2855.0
2020-11-20,3861.0,-2869.0
2020-11-23,4738.0,-2944.0
2020-11-24,4563.0,-2522.0
2020-11-25,24.0,-1840.0
2020-11-26,2027.0,-3400.0
2020-11-27,7713.0,-4969.0
2020-12-01,3242.0,-1043.0
2020-12-02,357.0,-1636.0
2020-12-03,3637.0,-1440.0
2020-12-04,2970.0,-1972.0
2020-12-07,3792.0,-2767.0
2020-12-08,2910.0,-2641.0
2020-12-09,3564.0,-2493.0
2020-12-10,2260.0,-2275.0
2020-12-11,4195.0,-2359.0
2020-12-14,2264.0,-1721.0
2020-12-15,2484.0,-2667.0
2020-12-16,1982.0,-1718.0
2020-12-17,2355.0,-2494.0
2020-12-18,2721.0,-2425.0
2020-12-21,-324.0,486.0
2020-12-22,1153.0,-662.0
2020-12-23,536.0,-1327.0
2020-12-24,1226.0,-1898.0
