,Date,FIIcall,FIIput,FIIFuture,FIIFutOI,FIICash,DIIcash
1727,13 Aug 2018,-2.9,1.0,-722.0,28024.0,-972.0,216.0
1726,14 Aug 2018,3.4,7.7,-711.0,28727.0,-379.0,391.0
1725,16 Aug 2018,-8.9,11.6,-433.0,28720.0,-825.0,134.0
1724,17 Aug 2018,15.6,4.0,-695.0,30356.0,147.0,152.0
1723,20 Aug 2018,1.9,-5.6,-118.0,31185.0,-483.0,593.0
1722,21 Aug 2018,0.4,2.9,-368.0,31622.0,254.0,198.0
1721,23 Aug 2018,-16.9,13.0,358.0,32513.0,433.0,142.0
1720,24 Aug 2018,-3.3,2.9,-47.0,32684.0,-76.0,905.0
1719,27 Aug 2018,5.2,-11.7,657.0,33805.0,253.0,1117.0
1718,28 Aug 2018,-0.3,-5.3,284.0,32805.0,-161.0,-199.0
1717,29 Aug 2018,-5.2,-2.7,-996.0,33419.0,-1416.0,1114.0
1716,30 Aug 2018,-43.6,-6.3,896.0,17647.0,-1416.0,1114.0
1715,31 Aug 2018,4.6,11.8,-1110.0,19081.0,-213.0,172.0
1714,03 Sep 2018,3.8,13.1,-394.0,19352.0,-21.0,-542.0
1713,04 Sep 2018,-21.6,20.9,-336.0,20163.0,33.0,-21.0
1712,05 Sep 2018,7.7,41.5,-2328.0,23116.0,-384.0,177.0
1711,06 Sep 2018,9.9,12.0,-1155.0,24112.0,-455.0,612.0
1710,07 Sep 2018,8.0,-5.1,-362.0,24655.0,38.0,942.0
1709,10 Sep 2018,-20.1,39.3,-631.0,25778.0,-842.0,-290.0
1708,11 Sep 2018,-0.6,8.1,-1676.0,25948.0,-1454.0,750.0
1707,12 Sep 2018,10.3,1.1,-391.0,25516.0,-1086.0,541.0
1706,14 Sep 2018,19.0,-5.2,458.0,24747.0,1091.0,115.0
1705,17 Sep 2018,-8.9,-4.7,-617.0,24871.0,-107.0,-180.0
1704,18 Sep 2018,-7.7,23.7,965.0,26088.0,-1144.0,265.0
1703,19 Sep 2018,11.2,1.3,355.0,27204.0,-2185.0,1201.0
1702,21 Sep 2018,-34.8,-12.0,1564.0,27670.0,761.0,497.0
1701,24 Sep 2018,-16.9,23.2,522.0,26752.0,-524.0,1528.0
1700,25 Sep 2018,-5.9,16.1,-793.0,27308.0,-1232.0,2284.0
1699,26 Sep 2018,-1.2,18.3,279.0,27609.0,-810.0,1555.0
1698,27 Sep 2018,45.2,-136.2,-1536.0,16814.0,552.0,-187.0
1697,28 Sep 2018,-20.9,19.6,702.0,17644.0,-1700.0,3256.0
1696,01 Oct 2018,19.8,-2.4,9.0,18174.0,-1842.0,1805.0
1695,03 Oct 2018,-10.3,-6.1,-700.0,18495.0,-1550.0,1402.0
1694,04 Oct 2018,-35.6,40.5,-3157.0,20392.0,-2761.0,1824.0
1693,05 Oct 2018,-12.8,29.9,-1610.0,21525.0,-3370.0,1902.0
1692,08 Oct 2018,-1.5,-15.6,918.0,22055.0,-1805.0,1974.0
1691,09 Oct 2018,0.8,-17.6,80.0,20776.0,-1242.0,1526.0
1690,10 Oct 2018,10.1,2.8,-1487.0,22882.0,-1096.0,1893.0
1689,11 Oct 2018,-11.8,4.8,-1143.0,22004.0,-2869.0,1888.0
1688,12 Oct 2018,28.3,-9.8,529.0,22236.0,-1322.0,1287.0
1687,15 Oct 2018,15.0,4.7,-1208.0,22138.0,68.0,295.0
1686,16 Oct 2018,4.9,11.9,186.0,22359.0,-1166.0,1059.0
1685,17 Oct 2018,-6.2,9.2,1077.0,21633.0,140.0,-343.0
1684,19 Oct 2018,-20.7,-5.1,-438.0,22255.0,-618.0,-2.0
1683,22 Oct 2018,4.2,6.7,525.0,21528.0,-512.0,303.0
1682,23 Oct 2018,-7.3,13.0,-577.0,24851.0,-340.0,116.0
1681,24 Oct 2018,6.0,7.5,613.0,28497.0,-2047.0,1874.0
1680,25 Oct 2018,39.2,-106.1,-2605.0,23086.0,-1496.0,340.0
1679,26 Oct 2018,-14.3,70.9,-147.0,22901.0,-1357.0,1876.0
1678,29 Oct 2018,31.5,3.8,279.0,24623.0,-2231.0,2527.0
1677,30 Oct 2018,-5.5,12.6,201.0,24137.0,-1592.0,1363.0
1676,31 Oct 2018,21.1,-23.9,737.0,27079.0,-194.0,1125.0
1675,01 Nov 2018,-1.5,-12.7,-263.0,27103.0,349.0,-509.0
1674,02 Nov 2018,34.4,-3.4,1381.0,29017.0,-197.0,853.0
1673,05 Nov 2018,8.3,26.2,-481.0,29531.0,12.0,-622.0
1672,06 Nov 2018,12.4,10.6,440.0,29091.0,-500.0,119.0
1671,09 Nov 2018,12.7,-21.5,647.0,30245.0,614.0,-337.0
1670,12 Nov 2018,-9.1,12.5,-169.0,30822.0,832.0,-1074.0
1669,13 Nov 2018,5.4,5.9,-111.0,31077.0,-495.0,336.0
1668,14 Nov 2018,3.0,8.2,92.0,31351.0,277.0,-272.0
1667,15 Nov 2018,3.0,-10.8,419.0,32430.0,2043.0,-165.0
1666,16 Nov 2018,-7.6,3.3,163.0,33756.0,845.0,-372.0
1665,19 Nov 2018,-7.1,-22.0,861.0,34947.0,1103.0,-310.0
1664,20 Nov 2018,-7.7,-0.1,171.0,34458.0,-753.0,-44.0
1663,21 Nov 2018,9.0,29.5,-705.0,34619.0,-1652.0,607.0
1662,22 Nov 2018,-15.3,11.1,1601.0,32937.0,446.0,50.0
1661,26 Nov 2018,23.8,2.3,-168.0,35146.0,63.0,352.0
1660,27 Nov 2018,-5.2,-5.0,-705.0,34374.0,812.0,31.0
1659,28 Nov 2018,-15.0,13.7,1067.0,34108.0,961.0,-330.0
1658,29 Nov 2018,-55.7,-102.2,3303.0,21176.0,823.0,973.0
1657,30 Nov 2018,-1.7,32.6,172.0,21351.0,-333.0,1490.0
1656,03 Dec 2018,-5.3,-13.5,401.0,22408.0,293.0,-806.0
1655,04 Dec 2018,9.8,4.6,37.0,23380.0,-56.0,-521.0
1654,05 Dec 2018,6.3,-22.4,-1165.0,25078.0,-358.0,-792.0
1653,06 Dec 2018,-2.6,15.6,-1722.0,26317.0,72.0,-390.0
1652,07 Dec 2018,2.9,-7.2,617.0,27184.0,-817.0,243.0
1651,10 Dec 2018,-0.7,1.2,-1012.0,25767.0,116.0,-146.0
1650,11 Dec 2018,9.2,-8.0,-636.0,25850.0,-2421.0,2256.0
1649,12 Dec 2018,5.3,10.1,-489.0,26441.0,-1299.0,1121.0
1648,13 Dec 2018,-12.3,34.8,2396.0,26967.0,675.0,-52.0
1647,14 Dec 2018,-0.3,12.5,249.0,27269.0,862.0,-303.0
1646,17 Dec 2018,2.7,-3.0,-319.0,28116.0,-61.0,-77.0
1645,18 Dec 2018,5.1,6.1,-951.0,29377.0,145.0,-183.0
1644,19 Dec 2018,-2.6,-1.5,502.0,30753.0,1209.0,-481.0
1643,20 Dec 2018,4.4,-0.4,300.0,31084.0,-386.0,88.0
1642,21 Dec 2018,-3.4,26.0,-316.0,31137.0,134.0,-489.0
1641,24 Dec 2018,4.2,20.7,205.0,30276.0,-577.0,186.0
1640,26 Dec 2018,-7.7,4.8,-755.0,34263.0,80.0,-138.0
1639,27 Dec 2018,-42.2,-101.1,1041.0,23057.0,1732.0,-663.0
1638,28 Dec 2018,14.8,22.4,632.0,23721.0,-120.0,1199.0
1637,31 Dec 2018,4.4,19.8,550.0,25009.0,-327.0,322.0
1636,01 Jan 2019,3.7,3.1,-476.0,24965.0,-48.0,143.0
