Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change ,Open_Nify,High_Nifty,Low_Nifty,Close_nifty
22-Apr-24,13.4575,13.4575,12.6125,12.7,13.4575,-0.76,-5.63,22336.9,22375.65,22198.15,22336.4
23-Apr-24,12.7,12.7,9.8575,10.195,12.7,-2.5,-19.72,22447.05,22447.55,22349.45,22368
24-Apr-24,10.195,11.1325,9.945,10.275,10.195,0.08,0.78,22421.55,22476.45,22384,22402.4
25-Apr-24,10.275,11.4575,10.26,10.73,10.275,0.46,4.43,22316.9,22625.95,22305.25,22570.35
26-Apr-24,10.73,11.315,10.5875,10.925,10.73,0.2,1.82,22620.4,22620.4,22385.55,22419.95
29-Apr-24,10.925,12.4875,10.925,12.235,10.925,1.31,11.99,22475.55,22655.8,22441.9,22643.4
30-Apr-24,12.235,13.2125,12.235,12.87,12.235,0.63,5.19,22679.65,22783.35,22568.4,22604.85
02-May-24,12.87,13.9475,12.87,13.445,12.87,0.58,4.47,22567.85,22710.5,22567.85,22648.2
03-May-24,13.445,15.3125,13.445,14.6175,13.445,1.17,8.72,22766.35,22794.7,22348.05,22475.85
06-May-24,14.6175,16.9625,14.6175,16.6,14.6175,1.98,13.56,22561.6,22588.8,22409.45,22442.7
07-May-24,16.6,17.6425,16.6,17.0075,16.6,0.41,2.45,22489.75,22499.05,22232.05,22302.5
08-May-24,17.0075,18.3175,16.4625,17.08,17.0075,0.07,0.43,22231.2,22368.65,22185.2,22302.5
09-May-24,17.08,19.1725,17.08,18.2,17.08,1.12,6.56,22224.8,22307.75,21932.4,21957.5
10-May-24,18.2,19.0075,17.995,18.4725,18.2,0.27,1.5,21990.95,22131.3,21950.3,22055.2
13-May-24,18.4725,21.485,18.4725,20.6,18.4725,2.13,11.52,22027.95,22131.65,21821.05,22104.05
14-May-24,20.6,21.875,20.1125,20.195,20.6,-0.41,-1.97,22112.9,22270.05,22081.25,22217.85
15-May-24,20.195,20.6575,19.87,20.2725,20.195,0.08,0.38,22255.6,22297.55,22151.75,22200.55
16-May-24,20.2725,21.1125,18.965,19.995,20.2725,-0.28,-1.37,22319.2,22432.25,22054.55,22403.85
17-May-24,19.995,20.3675,18.98,19.7975,19.995,-0.2,-0.99,22415.25,22502.15,22345.65,22466.1
18-May-24,19.7975,20.945,17.3375,20.525,19.7975,0.73,3.67,22512.85,22520.25,22470.05,22502
21-May-24,20.525,22.3025,20.525,21.81,20.525,1.29,6.26,22404.55,22591.1,22404.55,22529.05
22-May-24,21.81,22.2925,18.185,21.4675,21.81,-0.34,-1.57,22576.6,22629.5,22483.15,22597.8
23-May-24,21.4675,24.215,18.84,21.38,21.4675,-0.09,-0.41,22614.1,22993.6,22577.45,22967.65
24-May-24,21.38,21.8975,20.59,21.71,21.38,0.33,1.54,22930.75,23026.4,22908,22957.1
27-May-24,21.71,26.195,18.435,23.1925,21.71,1.48,6.83,23038.95,23110.8,22871.2,22932.45
28-May-24,23.1925,24.475,22.025,24.195,23.1925,1,4.32,22977.15,22998.55,22858.5,22888.15
29-May-24,24.195,24.7725,23.545,24.175,24.195,-0.02,-0.08,22762.75,22825.5,22685.45,22704.7
30-May-24,24.175,24.52,22.7525,24.175,24.175,0,0,22617.45,22705.75,22417,22488.65
31-May-24,24.175,24.81,22.5975,24.6025,24.175,0.43,1.77,22568.1,22653.75,22465.1,22530.7
03-Jun-24,24.6025,24.6025,19.115,20.9375,24.6025,-3.66,-14.9,23337.9,23338.7,23062.3,23263.9
04-Jun-24,20.9375,31.71,18.8025,26.7475,20.9375,5.81,27.75,23179.5,23179.5,21281.45,21884.5
05-Jun-24,26.7475,26.925,18.6575,18.885,26.7475,-7.86,-29.4,22128.35,22670.4,21791.95,22620.35
06-Jun-24,18.885,18.885,16.5575,16.8,18.885,-2.09,-11.04,22798.6,22910.15,22642.6,22821.4
07-Jun-24,16.8,17.145,16.3725,16.8825,16.8,0.08,0.49,22821.85,23320.2,22789.05,23290.15
10-Jun-24,16.8825,17.25,16.17,16.3975,16.8825,-0.48,-2.87,23319.15,23411.9,23227.15,23259.2
11-Jun-24,16.3975,16.3975,14.675,14.765,16.3975,-1.63,-9.96,23283.75,23389.45,23206.65,23264.85
12-Jun-24,14.765,14.765,13.165,14.3875,14.765,-0.38,-2.56,23344.45,23441.95,23295.95,23322.95
13-Jun-24,14.3875,14.3875,13.3125,13.4875,14.3875,-0.9,-6.26,23480.95,23481.05,23353.9,23398.9
14-Jun-24,13.4875,13.4875,12.655,12.8225,13.4875,-0.67,-4.93,23464.95,23490.4,23334.25,23465.6
18-Jun-24,12.8225,13.42,12.625,12.965,12.8225,0.14,1.11,23570.8,23579.05,23499.7,23557.9
19-Jun-24,12.965,13.815,11.63,13.7125,12.965,0.75,5.77,23629.85,23664,23412.9,23516
20-Jun-24,13.7125,14.06,13.1025,13.345,13.7125,-0.37,-2.68,23586.15,23624,23442.6,23567
21-Jun-24,13.345,13.59,12.475,13.18,13.345,-0.17,-1.24,23661.15,23667.1,23398.2,23501.1
24-Jun-24,13.18,14.2675,13.15,14.0575,13.18,0.88,6.66,23382.3,23558.1,23350,23537.85
25-Jun-24,14.0575,14.455,13.8425,14.3125,14.0575,0.26,1.81,23577.1,23754.15,23562.05,23721.3
26-Jun-24,14.3125,14.5475,13.985,14.045,14.3125,-0.27,-1.87,23723.1,23889.9,23670.45,23868.8
27-Jun-24,14.045,14.61,13.915,14.1525,14.045,0.11,0.77,23881.55,24087.45,23805.4,24044.5
28-Jun-24,14.1525,14.29,13.6875,13.8025,14.1525,-0.35,-2.47,24085.9,24174,23985.8,24010.6
01-Jul-24,13.8025,14.2275,13.7925,13.83,13.8025,0.03,0.2,23992.95,24164,23992.7,24141.95
02-Jul-24,13.83,14.0125,13.3225,13.64,13.83,-0.19,-1.37,24228.75,24236.35,24056.4,24123.85
03-Jul-24,13.64,13.715,12.87,13.205,13.64,-0.44,-3.19,24291.75,24309.15,24207.1,24286.5
04-Jul-24,13.205,13.205,12.2575,12.855,13.205,-0.35,-2.65,24369.95,24401,24281,24302.15
05-Jul-24,12.855,12.99,12.08,12.695,12.855,-0.16,-1.24,24213.35,24363,24168.85,24323.85
08-Jul-24,12.695,13.7575,12.695,13.6,12.695,0.9,7.13,24329.45,24344.6,24240.55,24320.55
09-Jul-24,13.6,14.4025,12.79,14.28,13.6,0.68,5,24351,24443.6,24331.9,24433.2
10-Jul-24,14.28,14.915,13.4075,14.4325,14.28,0.15,1.07,24459.85,24461.05,24141.8,24324.45
11-Jul-24,14.4325,14.4325,12.68,13.995,14.4325,-0.44,-3.03,24396.55,24402.65,24193.75,24315.95
12-Jul-24,13.995,14.0525,13.2225,13.725,13.995,-0.27,-1.93,24387.95,24592.2,24331.15,24502.15
15-Jul-24,13.725,14.34,13.5675,14.1875,13.725,0.46,3.37,24587.6,24635.05,24522.75,24586.7
16-Jul-24,14.1875,14.5875,13.8025,14.2225,14.1875,0.04,0.25,24615.9,24661.25,24587.65,24613
18-Jul-24,14.2225,14.71,13.75,14.51,14.2225,0.29,2.02,24543.8,24837.75,24504.45,24800.85
19-Jul-24,14.51,14.965,12.7375,14.825,14.51,0.31,2.17,24853.8,24854.8,24508.15,24530.9
19-Jul-24,14.51,14.965,12.7375,14.825,14.51,0.31,2.17,24445.75,24595.2,24362.3,24509.25
22-Jul-24,14.825,15.625,13.115,15.4375,14.825,0.61,4.13,24568.9,24582.55,24074.2,24479.05
23-Jul-24,15.4375,16.065,12.5925,12.7475,15.4375,-2.69,-17.43,24444.95,24504.25,24307.25,24413.5
24-Jul-24,12.7475,14.0375,11.6175,11.7625,12.7475,-0.99,-7.73,24230.95,24426.15,24210.8,24406.1
