Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change ,Close
15-Mar-24,13.6225,14.3325,13.59,13.69,13.6225,0.07,0.5,22023.35
18-Mar-24,13.69,14.615,13.69,13.895,13.69,0.21,1.5,22055.7
19-Mar-24,13.895,14.445,13.875,14.1125,13.895,0.22,1.57,21817.45
20-Mar-24,14.1125,14.2825,13.085,13.4725,14.1125,-0.64,-4.53,21839.1
21-Mar-24,13.4725,13.4725,12.3425,12.5125,13.4725,-0.96,-7.13,22011.95
22-Mar-24,12.5125,13.0475,11.81,12.22,12.5125,-0.29,-2.34,22096.75
26-Mar-24,12.22,13.1025,12.085,12.82,12.22,0.6,4.91,22004.7
27-Mar-24,12.82,13.01,12.5325,12.7025,12.82,-0.12,-0.92,22123.65
28-Mar-24,12.7025,13.18,12.26,12.8325,12.7025,0.13,1.02,22326.9
01-Apr-24,12.8325,13.3575,12.005,12.0825,12.8325,-0.75,-5.84,22462
02-Apr-24,12.0825,12.305,11.5975,11.6525,12.0825,-0.43,-3.56,22453.3
03-Apr-24,11.6525,11.8275,11.3125,11.3725,11.6525,-0.28,-2.4,22434.65
04-Apr-24,11.3725,11.8375,10.86,11.22,11.3725,-0.15,-1.34,22514.65
05-Apr-24,11.22,11.6825,11.035,11.3375,11.22,0.12,1.05,22513.7
08-Apr-24,11.3375,11.7425,11.1325,11.61,11.3375,0.27,2.4,22666.3
09-Apr-24,11.61,11.6125,10.6175,11.355,11.61,-0.25,-2.2,22642.75
10-Apr-24,11.355,11.355,10.985,11.1075,11.355,-0.25,-2.18,22753.8
12-Apr-24,11.1075,11.605,11.1075,11.5325,11.1075,0.43,3.83,22519.4
15-Apr-24,11.5325,12.7375,11.3075,12.4675,11.5325,0.93,8.11,22272.5
16-Apr-24,12.4675,12.925,12.34,12.615,12.4675,0.15,1.18,22147.9
18-Apr-24,12.615,13.3875,12.0275,13.04,12.615,0.42,3.37,21995.85
19-Apr-24,13.04,14.4125,11.915,13.4575,13.04,0.42,3.2,22147
22-Apr-24,13.4575,13.4575,12.6125,12.7,13.4575,-0.76,-5.63,22336.4
23-Apr-24,12.7,12.7,9.8575,10.195,12.7,-2.5,-19.72,22368
24-Apr-24,10.195,11.1325,9.945,10.275,10.195,0.08,0.78,22402.4
25-Apr-24,10.275,11.4575,10.26,10.73,10.275,0.46,4.43,22570.35
26-Apr-24,10.73,11.315,10.5875,10.925,10.73,0.2,1.82,22419.95
29-Apr-24,10.925,12.4875,10.925,12.235,10.925,1.31,11.99,22643.4
30-Apr-24,12.235,13.2125,12.235,12.87,12.235,0.63,5.19,22604.85
02-May-24,12.87,13.9475,12.87,13.445,12.87,0.58,4.47,22648.2
03-May-24,13.445,15.3125,13.445,14.6175,13.445,1.17,8.72,22475.85
06-May-24,14.6175,16.9625,14.6175,16.6,14.6175,1.98,13.56,22442.7
07-May-24,16.6,17.6425,16.6,17.0075,16.6,0.41,2.45,22302.5
08-May-24,17.0075,18.3175,16.4625,17.08,17.0075,0.07,0.43,22302.5
09-May-24,17.08,19.1725,17.08,18.2,17.08,1.12,6.56,21957.5
10-May-24,18.2,19.0075,17.995,18.4725,18.2,0.27,1.5,22055.2
13-May-24,18.4725,21.485,18.4725,20.6,18.4725,2.13,11.52,22104.05
14-May-24,20.6,21.875,20.1125,20.195,20.6,-0.41,-1.97,22217.85
15-May-24,20.195,20.6575,19.87,20.2725,20.195,0.08,0.38,22200.55
16-May-24,20.2725,21.1125,18.965,19.995,20.2725,-0.28,-1.37,22403.85
17-May-24,19.995,20.3675,18.98,19.7975,19.995,-0.2,-0.99,22466.1
18-May-24,19.7975,20.945,17.3375,20.525,19.7975,0.73,3.67,22502
21-May-24,20.525,22.3025,20.525,21.81,20.525,1.29,6.26,22529.05
22-May-24,21.81,22.2925,18.185,21.4675,21.81,-0.34,-1.57,22597.8
23-May-24,21.4675,24.215,18.84,21.38,21.4675,-0.09,-0.41,22967.65
24-May-24,21.38,21.8975,20.59,21.71,21.38,0.33,1.54,22957.1
27-May-24,21.71,26.195,18.435,23.1925,21.71,1.48,6.83,22932.45
28-May-24,23.1925,24.475,22.025,24.195,23.1925,1,4.32,22888.15
29-May-24,24.195,24.7725,23.545,24.175,24.195,-0.02,-0.08,22704.7
30-May-24,24.175,24.52,22.7525,24.175,24.175,0,0,22488.65
31-May-24,24.175,24.81,22.5975,24.6025,24.175,0.43,1.77,22530.7
