Index Name,1M,3M,1 Yr,3 Yr,5 Yr,Volatility (%) 1 Yr,Beta 1 Yr,Correlation R 1 Yr,P/E,P/B,Dividend Yield
Nifty 50,-6.12,-2.67,28.39,12.39,16.63,13.42,1.00,1.00,1.00,22.58,3.63,1.27
Nifty Next 50,-9.29,-6.37,59.92,19.43,20.45,19.61,1.20,0.82,0.67,23.20,3.75,1.52
Nifty 100,-6.72,-3.43,33.07,13.17,17.06,14.06,1.04,0.99,0.98,23.14,3.66,1.27
Nifty 200,-6.72,-3.65,34.88,14.62,18.52,14.44,1.05,0.97,0.95,25.03,3.84,1.18
Nifty 500,-6.35,-3.33,36.33,15.76,19.77,14.53,1.03,0.96,0.91,26.07,3.95,1.13
Nifty Midcap 150,-6.42,-4.38,44.15,23.28,28.49,17.16,1.03,0.80,0.65,42.98,5.44,0.74
Nifty Midcap 50,-7.96,-6.64,41.28,23.32,28.59,18.75,1.13,0.81,0.66,48.40,5.56,0.73
Nifty Smallcap 250,-3.58,-0.89,48.57,24.68,31.08,19.65,1.04,0.71,0.50,32.37,4.25,0.86
Nifty Smallcap 50,-2.39,0.69,55.74,20.65,27.74,20.86,1.12,0.72,0.52,32.16,3.82,0.80
Nifty LargeMidcap 250,-6.57,-3.90,38.59,18.24,22.79,15.09,1.03,0.92,0.84,30.16,4.38,1.00
Nifty MidSmallcap 400,-5.40,-3.13,45.74,23.86,29.37,17.76,1.03,0.78,0.61,38.39,4.93,0.78
Nifty Midcap 100,-6.71,-4.76,45.18,23.53,28.31,18.37,1.11,0.81,0.65,42.24,5.13,0.76
Nifty Smallcap 100,-3.00,-2.56,48.14,21.00,27.64,21.20,1.13,0.71,0.51,35.13,4.19,0.97
Nifty500 Multicap 50:25:25,-5.85,-3.02,39.69,18.64,23.49,15.40,1.03,0.90,0.81,28.44,4.14,1.03
Nifty Microcap 250,-3.33,0.31,54.36,36.11,42.67,22.21,1.05,0.64,0.41,35.15,3.63,0.52
Nifty Midcap Select,-6.64,-4.53,42.24,18.31,24.70,18.08,1.08,0.80,0.64,52.41,6.57,0.82
Nifty Total Market,-6.24,-3.20,36.93,16.32,20.28,14.65,1.04,0.95,0.90,26.33,3.94,1.10
Nifty500 LargeMidSmall Equal-Cap Weighted,-5.57,-2.88,41.90,20.45,25.54,16.16,1.03,0.86,0.73,30.79,4.33,0.95
