Index Name,Date,feat_P/E,feat_P/B,feat_Div_Yield_%,Open,High,Low,Close
NIFTY 500,04-Jan-10,20.96,3.3,1,4343.1,4372.3,4334.95,4367.6
NIFTY 500,05-Jan-10,21.21,3.34,0.99,4406.5,4422.9,4396.7,4416
NIFTY 500,06-Jan-10,21.24,3.35,0.99,4430.05,4438.65,4405.55,4422.6
NIFTY 500,07-Jan-10,21.19,3.34,0.99,4431,4435,4399,4411.5
NIFTY 500,08-Jan-10,21.16,3.34,0.99,4415.5,4436.15,4397.7,4405.3
NIFTY 500,11-Jan-10,21.29,3.36,0.98,4439.8,4452.05,4423.4,4432.5
NIFTY 500,12-Jan-10,21.09,3.33,0.99,4442.2,4449.85,4385,4391.7
NIFTY 500,13-Jan-10,21.21,3.34,0.99,4364.35,4418.9,4361.9,4415.6
NIFTY 500,14-Jan-10,21.38,3.37,0.98,4440.45,4462.2,4439.15,4450.4
NIFTY 500,15-Jan-10,21.47,3.38,0.98,4468.3,4482.55,4453.95,4468.1
NIFTY 500,18-Jan-10,21.62,3.4,0.97,4462.3,4508.2,4461.85,4499.6
NIFTY 500,19-Jan-10,21.47,3.38,0.98,4506.65,4524.3,4463.75,4469.3
NIFTY 500,20-Jan-10,20.99,3.36,0.98,4499.95,4502.4,4439.45,4453.6
NIFTY 500,21-Jan-10,20.47,3.28,1,4436.9,4445.4,4336.55,4343.2
NIFTY 500,22-Jan-10,20.32,3.26,1.01,4254.55,4331.7,4209.1,4310.7
NIFTY 500,25-Jan-10,19.65,3.23,1.02,4283.55,4306.2,4268.6,4278.5
NIFTY 500,27-Jan-10,18.95,3.12,1.06,4239.85,4260.05,4109.35,4125.5
NIFTY 500,28-Jan-10,19.01,3.13,1.05,4173.2,4197.15,4113.4,4137.5
NIFTY 500,29-Jan-10,18.67,3.14,1.05,4095.9,4163.9,4047.1,4156
NIFTY 500,01-Feb-10,18.85,3.17,1.04,4130.45,4211.5,4127,4196.3
NIFTY 500,02-Feb-10,18.59,3.13,1.05,4238.45,4242.75,4129.2,4138.2
NIFTY 500,03-Feb-10,18.93,3.18,1.04,4173.3,4223.85,4171.4,4212.1
NIFTY 500,04-Feb-10,18.6,3.13,1.05,4206.55,4208.35,4131.7,4139.7
NIFTY 500,05-Feb-10,18.17,3.04,1.08,4029.65,4055.6,4004.95,4023.6
NIFTY 500,06-Feb-10,18.36,3.07,1.07,4059.05,4076.9,4048.7,4066.8
NIFTY 500,08-Feb-10,18.37,3.08,1.07,4066.65,4096.5,4009.55,4067.3
NIFTY 500,09-Feb-10,18.54,3.1,1.06,4069.45,4110.4,4056.7,4104
NIFTY 500,10-Feb-10,18.43,3.08,1.07,4129.8,4136.85,4072.2,4079.7
NIFTY 500,11-Feb-10,18.62,3.12,1.06,4109.35,4135.7,4108.45,4123.6
NIFTY 500,15-Feb-10,18.5,3.1,1.07,4136.4,4137.15,4092.4,4096.2
NIFTY 500,16-Feb-10,18.67,3.12,1.06,4111.8,4147.1,4086.85,4134.6
NIFTY 500,17-Feb-10,18.84,3.15,1.05,4173.75,4191.05,4154.3,4171.5
NIFTY 500,18-Feb-10,18.73,3.13,1.05,4163.9,4174.65,4137.9,4145.8
NIFTY 500,19-Feb-10,18.53,3.1,1.06,4105.65,4127.75,4077.6,4102.7
NIFTY 500,22-Feb-10,18.49,3.09,1.07,4151.2,4151.65,4086.35,4094.2
NIFTY 500,23-Feb-10,18.47,3.09,1.07,4079.1,4109.2,4077.9,4089.7
NIFTY 500,24-Feb-10,18.42,3.09,1.07,4072.95,4093.4,4068.65,4080.6
NIFTY 500,25-Feb-10,18.39,3.08,1.07,4094.85,4094.85,4066.6,4072.3
NIFTY 500,26-Feb-10,18.54,3.12,1.06,4088.1,4170.95,4081.15,4127.5
NIFTY 500,02-Mar-10,18.83,3.17,1.04,4170.35,4198.35,4158.65,4192.3
NIFTY 500,03-Mar-10,19.09,3.21,1.03,4210.6,4252.65,4209.55,4249.8
NIFTY 500,04-Mar-10,19.15,3.22,1.02,4248,4266.25,4237.75,4262.3
NIFTY 500,05-Mar-10,19.18,3.23,1.02,4283.3,4293.7,4257.9,4270.2
NIFTY 500,08-Mar-10,19.26,3.24,1.02,4308.7,4308.7,4275.2,4287.7
NIFTY 500,09-Mar-10,19.11,3.22,1.03,4280.65,4280.65,4247.85,4252.4
NIFTY 500,10-Mar-10,19.11,3.22,1.03,4248.65,4276.65,4237.8,4253.8
NIFTY 500,11-Mar-10,19.11,3.22,1.03,4248.85,4260.35,4234.7,4252.8
NIFTY 500,12-Mar-10,19.11,3.22,1.03,4262.05,4272.65,4244.15,4253.3
NIFTY 500,15-Mar-10,19.03,3.2,1.03,4237.45,4245.4,4221.05,4233.4
NIFTY 500,16-Mar-10,19.21,3.23,1.02,4234.65,4277.35,4232.8,4273.6
NIFTY 500,17-Mar-10,19.36,3.26,1.01,4298.25,4324.5,4294.4,4304.2
NIFTY 500,18-Mar-10,19.37,3.26,1.01,4312.35,4318.2,4294.85,4306.6
NIFTY 500,19-Mar-10,19.45,3.27,1.01,4316.25,4327.15,4308.7,4324
NIFTY 500,22-Mar-10,19.25,3.24,1.02,4273.35,4317.25,4273.35,4278.7
NIFTY 500,23-Mar-10,19.29,3.25,1.02,4300.5,4305.35,4268.2,4287.3
