IndexName,Date,P/E,P/B,Div Yield %,Open,High,Low,Close
NIFTY METAL,01-01-2013,12.61,1.27,1.78,2916.15,2967.15,2916.15,2959.35
NIFTY METAL,02-01-2013,12.68,1.27,1.77,2979.95,3002.1,2970.15,2973.9
NIFTY METAL,03-01-2013,12.72,1.28,1.76,2983.7,2999.65,2969.3,2983.75
NIFTY METAL,04-01-2013,12.6,1.26,1.78,2975.45,2975.9,2938.1,2955.8
NIFTY METAL,07-01-2013,12.73,1.28,1.76,2965,3013.9,2936.8,2986.05
NIFTY METAL,08-01-2013,12.6,1.26,1.78,2983.4,2983.4,2931.4,2955.4
NIFTY METAL,09-01-2013,12.44,1.25,1.8,2962.6,2971.25,2914.55,2919.55
NIFTY METAL,10-01-2013,12.39,1.24,1.81,2935.25,2952.6,2898.15,2907.05
NIFTY METAL,11-01-2013,12.19,1.22,1.84,2907.5,2928.65,2852.2,2859.85
NIFTY METAL,14-01-2013,12.36,1.24,1.81,2861.15,2907.9,2835.35,2901
NIFTY METAL,15-01-2013,12.35,1.24,1.81,2898.15,2913.55,2881.15,2894.5
NIFTY METAL,16-01-2013,12.06,1.21,1.86,2883.8,2892.3,2820.75,2827.6
NIFTY METAL,17-01-2013,12.11,1.21,1.85,2814.95,2850.1,2797.75,2837.7
NIFTY METAL,18-01-2013,12.05,1.21,1.86,2843.7,2868.25,2815.8,2825.1
NIFTY METAL,21-01-2013,12.04,1.21,1.86,2820.85,2847.5,2812.7,2818.3
NIFTY METAL,22-01-2013,11.94,1.2,1.88,2815.15,2843.9,2783.55,2793.75
NIFTY METAL,23-01-2013,11.88,1.19,1.89,2804.65,2813.45,2759.45,2780.8
NIFTY METAL,24-01-2013,11.67,1.17,1.92,2777.3,2786.1,2724.95,2730.85
NIFTY METAL,25-01-2013,11.82,1.18,1.9,2726.95,2772.95,2703.5,2766.9
NIFTY METAL,28-01-2013,11.85,1.19,1.89,2771.55,2786.45,2752.05,2773.1
NIFTY METAL,29-01-2013,11.79,1.18,1.9,2766.15,2803.3,2749,2759.05
NIFTY METAL,30-01-2013,11.84,1.18,1.9,2762.75,2791.45,2762.4,2766
NIFTY METAL,31-01-2013,11.87,1.19,1.89,2757.65,2777.95,2746.65,2773.25
NIFTY METAL,01-02-2013,11.79,1.18,1.91,2776.05,2798.1,2746.9,2754.35
NIFTY METAL,04-02-2013,11.87,1.17,1.92,2762.75,2772.7,2726.5,2730.9
NIFTY METAL,05-02-2013,11.8,1.16,1.93,2712.8,2725.5,2699.25,2713.1
