IndexName,Date,P/E,P/B,Div Yield %,Open,High,Low,Close
NIFTY AUTO,08-Nov-24,23.54,4.88,0.92,23855.55,23900.6,23536.05,23805.2
NIFTY AUTO,07-Nov-24,23.55,4.88,0.92,24236.95,24243.8,23696.05,23812.5
NIFTY AUTO,06-Nov-24,23.87,4.95,0.91,23960.7,24181.5,23835.85,24137.9
NIFTY AUTO,05-Nov-24,23.57,4.89,0.92,23553.15,23891.15,23462.45,23839.6
NIFTY AUTO,04-Nov-24,23.31,4.83,0.93,23883.75,24068.9,23258.15,23573.2
NIFTY AUTO,01-Nov-24,23.4,4.88,0.92,23792.7,23869.75,23765.9,23805.6
NIFTY AUTO,31-Oct-24,23.11,4.82,0.93,23606.65,23625.3,23401.85,23514.7
NIFTY AUTO,30-Oct-24,23.19,4.84,0.93,23430.6,23855.15,23423.9,23594
NIFTY AUTO,29-Oct-24,23.18,4.84,0.93,23941.65,24048.65,23264.3,23588.6
NIFTY AUTO,28-Oct-24,23.55,4.91,0.91,23807.05,24224.05,23664.5,23964.45
NIFTY AUTO,25-Oct-24,23.39,4.88,0.92,24360.95,24378.15,23519.8,23799.3
NIFTY AUTO,24-Oct-24,23.95,4.99,0.9,24432.9,24555.45,24257.45,24324.85
NIFTY AUTO,23-Oct-24,24.08,5.01,0.9,24593.5,24873.8,24388,24451.3
NIFTY AUTO,22-Oct-24,24.25,5.05,0.89,25297.45,25316.45,24583.95,24627.25
NIFTY AUTO,21-Oct-24,24.86,5.18,0.87,25161.55,25359.55,24777.6,25251.85
NIFTY AUTO,18-Oct-24,24.76,5.16,0.87,24907.95,25247.8,24699.35,25146.9
NIFTY AUTO,17-Oct-24,24.48,5.12,0.88,25792.15,25820.5,24959.85,24991.2
NIFTY AUTO,16-Oct-24,25.38,5.31,0.84,26178.25,26197.25,25783.25,25909
NIFTY AUTO,15-Oct-24,25.7,5.38,0.83,26619,26626.1,26028.8,26242.6
NIFTY AUTO,14-Oct-24,25.92,5.43,0.83,26501.15,26569.4,26428.05,26463.55
NIFTY AUTO,11-Oct-24,25.89,5.42,0.83,26583.25,26610.9,26381,26436.6
NIFTY AUTO,10-Oct-24,25.98,5.44,0.83,26492,26764.15,26392.15,26528.5
NIFTY AUTO,09-Oct-24,25.91,5.42,0.83,26314.1,26673.4,26271,26450.25
NIFTY AUTO,08-Oct-24,25.7,5.38,0.83,25731.85,26293.6,25612.45,26236.1
NIFTY AUTO,07-Oct-24,25.28,5.29,0.85,26042.6,26079.95,25544.8,25807.15
NIFTY AUTO,04-Oct-24,25.39,5.32,0.84,26294.25,26449.25,25850.4,25926.3
NIFTY AUTO,03-Oct-24,25.76,5.39,0.83,26479.5,26806.2,26261.55,26302.1
NIFTY AUTO,01-Oct-24,26.53,5.55,0.81,27099.8,27228.1,26971.65,27083.45
NIFTY AUTO,30-Sep-24,26.47,5.54,0.81,27474.3,27534.9,26971.05,27027.2
NIFTY AUTO,27-Sep-24,27.14,5.65,0.79,27477.7,27696.1,27382.65,27610.75
NIFTY AUTO,26-Sep-24,27.03,5.62,0.8,26885.45,27526.35,26839.3,27496.25
NIFTY AUTO,25-Sep-24,26.43,5.5,0.81,26872.5,27108.45,26714.8,26888.35
NIFTY AUTO,24-Sep-24,26.47,5.5,0.81,26700.8,26966.95,26696.6,26920.45
NIFTY AUTO,23-Sep-24,26.35,5.48,0.82,26491.25,26825.55,26485.9,26805.4
NIFTY AUTO,20-Sep-24,25.95,5.64,0.83,25960.5,26452.05,25926.75,26394.55
NIFTY AUTO,19-Sep-24,25.47,5.75,0.84,25934.85,26105,25806,25907.65
NIFTY AUTO,18-Sep-24,25.37,5.74,0.85,25885.5,26117.25,25746.35,25804.45
NIFTY AUTO,17-Sep-24,25.46,5.8,0.84,25903.35,25942.9,25602.2,25896.4
NIFTY AUTO,16-Sep-24,25.39,5.79,0.85,25865.8,25915.55,25801.1,25829.65
NIFTY AUTO,13-Sep-24,25.38,5.79,0.85,25832.4,25870.7,25718.15,25820.85
NIFTY AUTO,12-Sep-24,25.34,5.79,0.85,25342.55,25818.45,25191.1,25779.8
NIFTY AUTO,11-Sep-24,24.81,5.7,0.87,25406.4,25456.8,25191,25240.6
NIFTY AUTO,10-Sep-24,25.12,5.8,0.86,25539.5,25627.15,25398.3,25556.45
NIFTY AUTO,09-Sep-24,25.06,5.8,0.86,25499.6,25523.6,25259.25,25495.25
NIFTY AUTO,06-Sep-24,25.1,5.81,0.86,25817.65,25893.15,25435.9,25527.15
NIFTY AUTO,05-Sep-24,25.4,5.88,0.85,25987.7,26016.95,25800.25,25835.3
NIFTY AUTO,04-Sep-24,25.5,5.9,0.84,25869.4,25988.55,25764.2,25934.25
NIFTY AUTO,03-Sep-24,25.6,5.92,0.84,26140.85,26141.75,26004.15,26034.65
NIFTY AUTO,02-Sep-24,25.63,5.93,0.84,26289.35,26289.35,25951.9,26071.4
NIFTY AUTO,30-Aug-24,25.73,5.95,0.84,26083.3,26245.6,25976.45,26172.8
NIFTY AUTO,29-Aug-24,24.05,5.69,0.86,25858.4,26117.95,25671.25,26020.4
NIFTY AUTO,28-Aug-24,23.92,5.66,0.86,25963.25,26055.6,25817.25,25879.4
NIFTY AUTO,27-Aug-24,23.95,5.67,0.86,25960.7,26026.8,25857.05,25911.9
NIFTY AUTO,26-Aug-24,23.98,5.67,0.86,25913.5,25995.75,25802.15,25941.45
NIFTY AUTO,23-Aug-24,23.9,5.65,0.86,25630.8,25929.05,25621.25,25850.7
NIFTY AUTO,22-Aug-24,23.63,5.59,0.87,25658.45,25681.5,25518.05,25563.65
NIFTY AUTO,21-Aug-24,23.65,5.6,0.87,25520.55,25597.65,25448.05,25586.75
NIFTY AUTO,20-Aug-24,23.57,5.58,0.88,25480.75,25538.45,25377.6,25500
NIFTY AUTO,19-Aug-24,23.45,5.55,0.88,25732.1,25732.1,25355.7,25368.75
NIFTY AUTO,16-Aug-24,23.66,5.6,0.87,25344.8,25635.45,25261.75,25597.35
NIFTY AUTO,14-Aug-24,23.38,5.49,0.89,25169.8,25235.85,25021.1,25093.5
NIFTY AUTO,13-Aug-24,23.37,5.49,0.91,25330.45,25362.35,25041.95,25081.85
NIFTY AUTO,12-Aug-24,23.58,5.53,0.91,25267.15,25345.1,25089.75,25278.95
NIFTY AUTO,09-Aug-24,23.67,5.54,0.92,25272.9,25445,25202.75,25346.65
NIFTY AUTO,08-Aug-24,23.25,5.45,0.94,24947.8,25111.15,24785.05,24917.35
NIFTY AUTO,07-Aug-24,23.29,5.45,0.94,25001.5,25028.2,24789.85,24937.6
NIFTY AUTO,06-Aug-24,22.9,5.36,0.89,24909.05,25309.2,24464.5,24520.05
NIFTY AUTO,05-Aug-24,23.07,5.4,0.88,25056.05,25150.5,24509.25,24706.5
NIFTY AUTO,02-Aug-24,24.69,5.62,0.94,26192.8,26192.8,25678.35,25714.45
NIFTY AUTO,01-Aug-24,25.64,5.79,0.78,26900.95,26934.05,26357.45,26487.45
NIFTY AUTO,31-Jul-24,25.83,5.84,0.75,26675.6,26800.7,26516.35,26685.25
NIFTY AUTO,30-Jul-24,25.73,5.81,0.75,26468.85,26757.9,26386.1,26580.95
NIFTY AUTO,29-Jul-24,25.58,5.78,0.75,26382.3,26460.65,26261.8,26426.55
NIFTY AUTO,26-Jul-24,25.4,5.74,0.83,25759.25,26289.35,25601.7,26250.7
NIFTY AUTO,25-Jul-24,24.8,5.6,0.85,25210.7,25640.4,25147.35,25627.35
NIFTY AUTO,24-Jul-24,24.49,5.54,0.86,25305.8,25370.1,25193.05,25309.05
NIFTY AUTO,23-Jul-24,24.51,5.54,0.86,25361.75,25458.2,24473.8,25321.7
NIFTY AUTO,22-Jul-24,24.44,5.52,0.86,24889.3,25292.9,24689.8,25250.75
NIFTY AUTO,19-Jul-24,24.16,5.51,0.86,25573.9,25573.9,24931.25,24963.35
NIFTY AUTO,18-Jul-24,24.81,5.65,0.83,25457.4,25605.5,25162.7,25576.7
NIFTY AUTO,16-Jul-24,24.72,5.62,0.84,25510.25,25587.85,25430.95,25482.9
NIFTY AUTO,15-Jul-24,24.66,5.6,0.84,25235.7,25451.1,25191.15,25419.8
NIFTY AUTO,12-Jul-24,24.39,5.75,1.01,25246.4,25301.4,25102.4,25145.45
