Industry,NSE Codes
Finance & Investments,"360ONE, ABCAPITAL, ANANDRATHI, ANGELONE, BAJFINANCE, BAJAJFINSV, BAJAJHLDNG, CGCL, CHOLAHLDNG, CHOLAFIN, CREDITACC, FIVESTAR, GICRE, HDFCAMC, HDFCLIFE, IDFC, ICICIGI, ICICIPRULI, ISEC, IIFL, JIOFIN, JMFINANCIL, LTF, LICI, M&MFIN, MANAPPURAM, MFSL, MOTILALOFS, MUTHOOTFIN, NIACL, NAM-INDIA, NUVAMA, PEL, POONAWALLA, SBFC, SBICARD, SBILIFE, SHRIRAMFIN, STARHEALTH, SUNDARMFIN, TATAINVEST, UTIAMC"
Diversified - Large,"3MINDIA, QUESS"
Electric Equipment,"ABB, APARINDS, BHEL, CGPOWER, CROMPTON, HAVELLS, POWERINDIA, INOXWIND, SCHNEIDER, SIEMENS, SUZLON, TRITURBINE, VGUARD"
Chemicals,"AARTIIND, AETHER, ALKYLAMINE, ANURAS, ACI, ATUL, BALAMINES, CASTROLIND, CHEMPLASTS, CLEAN, DEEPAKFERT, DEEPAKNTR, FINEORG, GNFC, GODREJIND, FLUOROCHEM, HSCL, JUBLINGREA, LXCHEM, LINDEINDIA, NAVINFLUOR, PCBL, PIDILITIND, SOLARINDS, SRF, TATACHEM"
Finance - Housing,"AAVAS, APTUS, CANFINHOME, HUDCO, HOMEFIRST, LICHSGFIN, PNBHOUSING, SAMMAANCAP"
Pharmaceuticals - Multinational,"ABBOTINDIA, ASTRAZEN, GLAXO, SANOFI"
Cement - North India,"ACC, AMBUJACEM, BIRLACORPN, JKCEMENT, JKLAKSHMI, NUVOCO, PRSMJOHNSN, SHREECEM, ULTRACEMCO"
Engineering,"ACE, BEML, BDL, ELECON, GMMPFAUDLR, HAL, JWL, MTARTECH, PRAJIND, THERMAX, TITAGARH"
Power Generation And Supply,"ADANIENSOL, ADANIGREEN, ADANIPOWER, CESC, JSWENERGY, NHPC, NLCINDIA, NTPC, POWERGRID, SJVN, TATAPOWER, TORNTPOWER"
Trading,"ADANIENT, AEGISLOG, DMART, CELLO, NYKAA, HONASA, MEDPLUS, MMTC, REDINGTON, TRENT"
Miscellaneous,"ADANIPORTS, ATGL, ALLCARGO, BSE, CDSL, CAMS, CENTURYPLY, COCHINSHIP, CONCOR, CRISIL, DELHIVERY, GAIL, GRSE, GPPL, GAEL, GSPL, GUJGASLTD, INDIAMART, IEX, IGL, NAUKRI, JSWINFRA, JUSTDIAL, KFINTECH, MGL, MAZDOCK, MCX, NBCC, PAYTM, PETRONET, RTNINDIA, RITES, SPARC, SYNGENE, TVSSCS, ZOMATO"
Solvent Extraction,"AWL, MARICO, PATANJALI"
Textiles - Products,"ABFRL, KPRMILL, PAGEIND, MANYAVAR, WELSPUNLIV"
Computers - Software - Medium / Small,"AFFLE, BSOFT, BLS, MAPMYINDIA, COFORGE, CYIENT, ECLERX, FSL, HAPPSTMNDS, INTELLECT, KPITTECH, LATENTVIEW, MASTEK, OFSS, POLICYBZR, ROUTE, SONATSOFTW, TANLA, TATAELXSI, TATATECH, ZENSARTECH"
Castings & Forgings,"AIAENG, BHARATFORG, CIEINDIA, HAPPYFORGE, RKFORGE"
Pharmaceuticals - Indian - Formulations,"AJANTPHARM, CAPLIPOINT, ERIS, GLAND, TORNTPHARM"
Pharmaceuticals - Indian - Bulk Drugs & Formln,"APLLTD, ALKEM, AUROPHARMA, BIOCON, CIPLA, CONCORDBIO, DRREDDY, FDC, GLS, GLENMARK, GRANULES, IPCALAB, JBCHEPHARM, LAURUSLABS, LUPIN, MANKIND, NATCOPHARM, PPLPHARMA, SUNPHARMA, SUVENPHAR, ZYDUSLIFE"
Textiles - Processing,ALOKINDS
Auto Ancillaries,"ARE&M, BBTC, BOSCHLTD, CRAFTSMAN, ENDURANCE, EXIDEIND, HBLPOWER, JBMA, MINDACORP, MSUMI, MOTHERSON, SONACOMS, SUNDRMFAST, UNOMINDA, VARROC, ZFCVINDIA"
Electronics - Components,"AMBER, BEL, DATAPATTNS, HONAUT, KAYNES, SYRMA"
Steel - Large,"APLAPOLLO, GPIL, JAIBALAJI, JINDALSAW, JSL, JSWSTEEL, SAIL, SHYAMMETL, TATASTEEL, TIINDIA, WELCORP"
Healthcare,"APOLLOHOSP, ASTERDM, LALPATHLAB, FORTIS, MEDANTA, KIMS, MAXHEALTH, METROPOLIS, NH, POLYMED, RAINBOW, VIJAYA"
Tyres,"APOLLOTYRE, BALKRISIND, CEATLTD, MRF"
Glass & Glass Products,"ASAHIINDIA, BORORENEW"
Automobiles - LCVs / HCVs,"ASHOKLEY, OLECTRA, TATAMOTORS"
Paints / Varnishes,"ASIANPAINT, BERGEPAINT, INDIGOPNTS, KANSAINER"
Plastics Products,"ASTRAL, FINPIPE, PRINCEPIPE, SUPREMEIND"
Banks - Private Sector,"AUBANK, AXISBANK, BANDHANBNK, CUB, CSBBANK, EQUITASBNK, FEDERALBNK, HDFCBANK, ICICIBANK, IDBI, IDFCFIRSTB, INDUSINDBK, J&KBANK, KARURVYSYA, KOTAKBANK, RBLBANK, TMB, UJJIVANSFB, YESBANK"
Food - Processing - Indian,"AVANTIFEED, BIKAJI, KRBL, VBL"
Refineries,"BPCL, CHENNPETRO, HINDPETRO, IOC, MRPL, RELIANCE"
Automobiles - Scooters And 3 - Wheelers,BAJAJ-AUTO
Sugar,"BALRAMCHIN, EIDPARRY, RENUKA, TRIVENI"
Banks - Public Sector,"BANKBARODA, BANKINDIA, MAHABANK, CANBK, CENTRALBK, IOB, INDIANB, PNB, SBIN, UCOBANK, UNIONBANK"
Leather / Leather Products,"BATAINDIA, CAMPUS, METROBRAND"
Pesticides / Agrochemicals - Multinational,BAYERCROP
Telecommunications - Service Provider,"BHARTIARTL, RAILTEL, TATACOMM, TTML, IDEA"
Couriers,BLUEDART
Air-conditioners,"BLUESTARCO, VOLTAS"
Construction,"BRIGADE, DLF, GODREJPROP, IRB, IRCON, KNRCON, LODHA, MAHLIFE, NCC, OBEROIRLTY, PHOENIXLTD, PNCINFRA, PRESTIGE, RVNL, RAYMOND, SIGNATURE, SOBHA, SUNTECK"
Food - Processing - MNC,"BRITANNIA, NESTLEIND"
Abrasives And Grinding Wheels,"CARBORUNIV, GRINDWELL"
Tea,"CCL, TATACONSUM"
Paper,"CENTURYTEX, JKPAPER"
Ceramics - Tiles / Sanitaryware,"CERA, KAJARIACER"
Hotels,"CHALET, DEVYANI, EIHOTEL, INDHOTEL, JUBLFOOD, LEMONTREE, MHRIL, RBA, SAPPHIRE, WESTLIFE"
Fertilizers,"CHAMBLFERT, COROMANDEL, FACT, GSFC, RCF"
Mining / Minerals / Metals,"COALINDIA, GMDCLTD, HINDCOPPER, HINDZINC, LLOYDSME, NMDC, VEDL"
Personal Care - Multinational,"COLPAL, GILLETTE, HINDUNILVR, PGHH"
Engines,CUMMINSIND
Personal Care - Indian,"DABUR, EMAMILTD, GODREJCP, JYOTHYLAB"
Cement - South India,"DALBHARAT, INDIACEM, RAMCOCEM"
Diversified - Mega,DCMSHRIRAM
Pharmaceuticals - Indian - Bulk Drugs,"DIVISLAB, JUBLPHARMA"
Electronics - Consumer,DIXON
Printing & Stationery,DOMS
Travel Agencies,"EASEMYTRIP, IRCTC"
Automobiles - Motorcycles / Mopeds,"EICHERMOT, HEROMOTOCO, TVSMOTOR"
Compressors / Drilling Equipment,ELGIEQUIP
Engineering - Turnkey Services,"ENGINERSIN, GMRINFRA, HFCL, LT, SWSOLAR"
Packaging,EPL
Automobiles - Tractors,ESCORTS
Cables - Power,"FINCABLES, KEI, POLYCAB, RRKABEL"
Shipping,GESHIP
Cigarettes,"GODFRYPHLP, ITC"
Electrodes - Graphites,"GRAPHITE, HEG"
Textiles - Manmade,GRASIM
Computers - Software - Large,"HCLTECH, INFY, LTTS, LTIM, MPHASIS, PERSISTENT, TCS, TECHM, WIPRO"
Aluminium and Aluminium Products,"HINDALCO, NATIONALUM"
Finance - Term-Lending Institutions,"IRFC, PFC, RECLTD"
Transmisson Line Towers / Equipment,"INDUSTOWER, KEC, KPIL"
Transport - Airlines,INDIGO
Telecommunications - Equipment,"ITI, TEJASNET"
Steel - Sponge Iron,JINDALSTEL
Diamond Cutting / Jewellery,"KALYANKJIL, RAJESHEXPO, TITAN, VAIBHAVGBL"
Pumps,KSB
Automobiles - Passenger Cars,"M&M, MARUTI"
Steel - Medium / Small,"MAHSEAMLES, NSLNISP, RATNAMANI, USHAMART"
Entertainment / Electronic Media Software,"NETWORK18, PVRINOX, SAREGAMA, SUNTV, TV18BRDCST, ZEEL"
Oil Drilling / Allied Services,"ONGC, OIL"
Pesticides / Agrochemicals - Indian,"PIIND, SUMICHEM, UPL"
Breweries & Distilleries,"RADICO, UBL, UNITDSPR"
Refractories / Intermediates,RHIM
Moulded Luggage,"SAFARI, VIPIND"
Bearings,"SCHAEFFLER, SKFINDIA, TIMKEN"
Cables - Telephone,STLTECH
Diversified - Medium / Small,SWANENERGY
Textiles - Cotton/Blended,"TRIDENT, VTL"
Domestic Appliances,WHIRLPOOL
