Industry,NSE Codes
Finance & Investments,"360ONE, ABCAPITAL, ANANDRATHI, ANGELONE, BAJFINANCE, BAJAJFINSV, BAJAJHLDNG, CGCL, CHOICEIN, CHOLAHLDNG, CHOLAFIN, CREDITACC, DHANI, EDELWEISS, FEDFINA, FIVESTAR, FUSION, GICRE, HDFCAMC, HDFCLIFE, IDFC, ICICIGI, ICICIPRULI, ISEC, IIFL, IIFLSEC, JIOFIN, JMFINANCIL, JSWHL, LTF, LICI, M&MFIN, MANAPPURAM, MASFIN, MFSL, MOTILALOFS, MUTHOOTFIN, MUTHOOTMF, NIACL, NAM-INDIA, NUVAMA, PAISALO, PEL, POONAWALLA, RELIGARE, SBFC, SBICARD, SBILIFE, SHAREINDIA, SHRIRAMFIN, SPANDANA, STARHEALTH, SUNDARMFIN, TATAINVEST, TVSHLTD, UTIAMC"
Diversified - Large,"3MINDIA, BALMLAWRIE, NAVA, QUESS"
Electric Equipment,"ABB, APARINDS, BHEL, CGPOWER, CROMPTON, HAVELLS, POWERINDIA, IKIO, INOXWIND, SCHNEIDER, SIEMENS, SUZLON, TDPOWERSYS, TRITURBINE, VGUARD, VOLTAMP"
Pharmaceuticals - Indian - Bulk Drugs,"AARTIDRUGS, AMIORG, DIVISLAB, HIKAL, JUBLPHARMA, NEULANDLAB"
Chemicals,"AARTIIND, AETHER, ALKYLAMINE, ANURAS, ACI, ATUL, BALAMINES, BASF, CAMLINFINE, CASTROLIND, CHEMPLASTS, CLEAN, DEEPAKFERT, DEEPAKNTR, FINEORG, FCL, GNFC, GALAXYSURF, GHCL, GODREJIND, FLUOROCHEM, GULFOILLUB, HSCL, JUBLINGREA, LXCHEM, LINDEINDIA, NAVINFLUOR, NOCIL, PCBL, PIDILITIND, ROSSARI, SOLARINDS, SRF, TATACHEM, TIRUMALCHM, TIDEWATER"
Pharmaceuticals - Indian - Bulk Drugs & Formln,"AARTIPHARM, ADVENZYMES, APLLTD, ALKEM, AUROPHARMA, BIOCON, BLUEJET, CIPLA, CONCORDBIO, DCAL, DRREDDY, FDC, GLS, GLENMARK, GRANULES, GUFICBIO, INDOCO, IOLCP, IPCALAB, JBCHEPHARM, LAURUSLABS, LUPIN, MANKIND, NATCOPHARM, PPLPHARMA, SEQUENT, STAR, SUNPHARMA, SUPRIYA, SUVENPHAR, WOCKPHARMA, ZYDUSLIFE"
Finance - Housing,"AAVAS, APTUS, CANFINHOME, HUDCO, HOMEFIRST, INDIASHLTR, LICHSGFIN, PNBHOUSING, SAMMAANCAP"
Pharmaceuticals - Multinational,"ABBOTINDIA, ASTRAZEN, GLAXO, SANOFI"
Cement - North India,"ACC, AMBUJACEM, BIRLACORPN, HEIDELBERG, JKCEMENT, JKLAKSHMI, KESORAMIND, NUVOCO, PRSMJOHNSN, SANGHIIND, SHREECEM, STARCEMENT, ULTRACEMCO"
Computers - Software - Medium / Small,"ACCELYA, AFFLE, BSOFT, BLS, MAPMYINDIA, CIGNITITEC, COFORGE, CYIENT, DATAMATICS, ECLERX, EMUDHRA, FSL, HAPPSTMNDS, INFIBEAM, INTELLECT, KPITTECH, LATENTVIEW, MASTEK, NEWGEN, NUCLEUS, OFSS, POLICYBZR, RATEGAIN, ROUTE, SONATSOFTW, TANLA, TATAELXSI, TATATECH, ZENSARTECH"
Engineering,"ACE, AZAD, BEML, BDL, ELECON, GMMPFAUDLR, HAL, HLEGLAS, IDEAFORGE, IONEXCHANG, JWL, JYOTICNC, LLOYDSENGG, MTARTECH, PARAS, PRAJIND, TEGA, TEXRAIL, THERMAX, TITAGARH, UNIPARTS"
Power Generation And Supply,"ADANIENSOL, ADANIGREEN, ADANIPOWER, CESC, JPPOWER, JSWENERGY, NHPC, NLCINDIA, NTPC, POWERGRID, RTNPOWER, RPOWER, SJVN, TATAPOWER, TORNTPOWER"
Trading,"ADANIENT, AEGISLOG, ARVINDFASN, DMART, CELLO, EMIL, ETHOSLTD, NYKAA, HINDWAREAP, HONASA, LANDMARK, MEDPLUS, MMTC, MSTCLTD, OPTIEMUS, PDSL, PTC, REDINGTON, REDTAPE, KALAMANDIR, TRENT, VMART"
Miscellaneous,"ADANIPORTS, ATGL, ALLCARGO, BSE, CDSL, CAMS, CARERATING, CARTRADE, CENTURYPLY, CMSINFO, COCHINSHIP, CONFIPET, CONCOR, CRISIL, DELHIVERY, DREAMFOLKS, GAIL, GRSE, GATEWAY, GREENPANEL, GREENPLY, GPPL, GAEL, GSPL, GUJGASLTD, INDIAMART, IEX, IGL, NAUKRI, JSWINFRA, JUSTDIAL, KSCL, KFINTECH, MGL, MAHLOG, MAZDOCK, MCX, NBCC, PAYTM, PETRONET, RAIN, RTNINDIA, RITES, SANGHVIMOV, SFL, SINDHUTRAD, SPARC, STYLAMIND, SYNGENE, TARSONS, TEAMLEASE, TVSSCS, VENKEYS, VRLLOG, ZENTEC, ZOMATO"
Solvent Extraction,"AWL, MARICO, PATANJALI"
